Type        | Z0.ApiCodeIndex                                                       | Correlates operation identifiers and coded members
Method      | Z0.EncodedHexArchive.Read(Z0.FilePath)                                | Reads a default-formatted hex-line file
Method      | Z0.EncodedHexArchive.Read(Z0.OpIdentity)                              | Reads a moniker-identified, default-formatted hex-line file
Method      | Z0.EncodedHexReader.Parse(System.String)                              | Parses a row of identified hex text
Type        | Z0.HostCaptureArchive                                                 | A host-specific capture archive
Property    | Z0.UriCodeWriter.TargetPath                                           | The writer's target path
Property    | Z0.TCaptureArchive.Extract                                            | Extract log extension
Property    | Z0.TCaptureArchive.Parsed                                             | Parse log extension
Property    | Z0.TCaptureArchive.Unparsed                                           | Parse failure log extension
Method      | Z0.TCaptureArchive.Clear(PartId[])                                    | Obliterates all content in archive-owned directories, returning the obliteration subjects upon completion
Property    | Z0.TImmArchive.ImmRootFolder                                          | The imm root folder name
Property    | Z0.TImmArchive.ImmRootDir                                             | The imm root directory path
Method      | Z0.TImmArchive.ImmDir(PartId)                                         | Defines the path of an imm part directory
Method      | Z0.TImmArchive.ImmDir(Z0.ApiHostUri)                                  | Defines the path of an imm host directory
Method      | Z0.TImmArchive.ImmDirs(PartId)                                        | Nonrecursively enumerates directory paths owned by a specified part
Method      | Z0.TImmArchive.ImmDirs(PartId[])                                      | Nonrecursively enumerates directory paths owned by a specified part
