Method      | Z0.Logix.LogicEngine.eval(Z0.Logix.ILogicExpr)                        | Evalutates an untyped expression
Method      | Z0.Logix.LogicEngine.eval``1(Z0.Logix.ILogicExpr{``0})                | Evalutates a typed logic expression
Method      | Z0.Logix.LogicEngine.eval``1(Z0.Logix.IExpr{``0})                     | Evalutates a typed scalar expression
Method      | Z0.Logix.LogicEngine.eval``1(Z0.Logix.IComparisonExpr{``0})           | Evaluates a comparison expression, returning literal expression over the comparison type            and the interpretation of this literal is type-dependent
Method      | Z0.Logix.LogicEngine.eval``1(Z0.Logix.IComparisonExpr{System.Runtime.Intrinsics.Vector128{``0}})| Evaluates a comparison expression over 128-bit intrinsic vectors
Method      | Z0.Logix.LogicEngine.eval``1(Z0.Logix.IComparisonExpr{System.Runtime.Intrinsics.Vector256{``0}})| Evaluates a comparison expression over 256-bit intrinsic vectors
Method      | Z0.Logix.LogicEngine.eval``1(Z0.Logix.IComparisonPredExpr{``0})       | Evaluates a comparison predicate, returning an enabled bit if the comparison succeeds and             a disabled bit otherwise
Method      | Z0.Logix.LogicEngine.eval``1(Z0.Logix.IArithmeticExpr{``0})           | Evalutates a typed scalar expression
Method      | Z0.Logix.LogicEngine.eval``1(Z0.Logix.IExpr{System.Runtime.Intrinsics.Vector128{``0}})| Evalutates a typed 128-bit intrinsic expression
Method      | Z0.Logix.LogicEngine.eval``1(Z0.Logix.IExpr{System.Runtime.Intrinsics.Vector256{``0}})| Evalutates a typed 256-bit intrinsic expression
Method      | Z0.Logix.LogicEngine.satisfied(Z0.Logix.ComparisonExpr,Z0.bit,Z0.bit) | Returns an enabled bit if the equality expression is satisfied with             specified variable values and a disabled bit otherwise
Method      | Z0.Logix.LogicEngine.satisfied``1(Z0.Logix.ComparisonExpr{``0},``0,``0)| Returns an enabled bit if the equality expression is satisfied with             specified variable values and a disabled bit otherwise
Method      | Z0.Logix.LogicEngine.satisfied``1(Z0.Logix.ComparisonExpr{System.Runtime.Intrinsics.Vector128{``0}},System.Runtime.Intrinsics.Vector128{``0},System.Runtime.Intrinsics.Vector128{``0})| Returns an enabled bit if the equality expression is satisfied with             specified variable values and a disabled bit otherwise
