Leaf     | Subleaf  | EAX      | EBX      | ECX      | EDX
00000000 | 00000000 | 00000015 | 756E6547 | 6C65746E | 49656E69
00000001 | 00000000 | 00050657 | 00200800 | FEDA3203 | 1F8BFBFF
00000002 | 00000000 | 76036301 | 00F0B5FF | 00000000 | 00C30000
00000004 | 00000000 | 7C000121 | 01C0003F | 0000003F | 00000000
00000004 | 00000001 | 7C000122 | 01C0003F | 0000003F | 00000000
00000004 | 00000002 | 7C000143 | 03C0003F | 000003FF | 00000000
00000004 | 00000003 | 7C000163 | 0280003F | 00006FFF | 00000001
00000007 | 00000000 | 00000000 | D09F2FB9 | 00000000 | 9C000000
0000000B | 00000000 | 00000000 | 00000001 | 00000100 | 00000000
0000000B | 00000001 | 00000005 | 00000020 | 00000201 | 00000000
0000000D | 00000000 | 000000E7 | 00000A80 | 00000A80 | 00000000
0000000D | 00000001 | 0000000B | 00000980 | 00000000 | 00000000
0000000D | 00000002 | 00000100 | 00000240 | 00000000 | 00000000
0000000D | 00000005 | 00000040 | 00000440 | 00000000 | 00000000
0000000D | 00000006 | 00000200 | 00000480 | 00000000 | 00000000
0000000D | 00000007 | 00000400 | 00000680 | 00000000 | 00000000
80000000 | 00000000 | 80000008 | 00000000 | 00000000 | 00000000
80000001 | 00000000 | 00000000 | 00000000 | 00000121 | 2C100800
80000002 | 00000000 | 65746E49 | 2952286C | 726F4320 | 4D542865
80000003 | 00000000 | 39692029 | 3930312D | 20583034 | 20555043
80000004 | 00000000 | 2E332040 | 48473033 | 0000007A | 00000000
80000006 | 00000000 | 00000000 | 00000000 | 01006040 | 00000000
80000008 | 00000000 | 0000302E | 00000000 | 00000000 | 00000000
