# 32-Bit Addressing Forms with the ModR/M Byte, Intel Vol2A, Table 2-2
| Identifier | EffectiveAddress | Mod | RM  | X0 | X1 | X2 | X3 | X4 | X5 | X6 | X7 |
| Eax        | [EAX]            | 00  | 000 | 00 | 08 | 10 | 18 | 20 | 28 | 30 | 38 |
| Ecx        | [ECX]            | 00  | 001 | 01 | 09 | 11 | 19 | 21 | 29 | 31 | 39 |
| Edx        | [EDX]            | 00  | 010 | 02 | 0A | 12 | 1A | 22 | 2A | 32 | 3A |
| Ebx        | [EBX]            | 00  | 011 | 03 | 0B | 13 | 1B | 23 | 2B | 33 | 3B |
| RR         | [--][--]         | 00  | 100 | 04 | 0C | 14 | 1C | 24 | 2C | 34 | 3C |
| Disp32     | disp32           | 00  | 101 | 05 | 0D | 15 | 1D | 25 | 2D | 35 | 3D |
| Esi        | [ESI]            | 00  | 110 | 06 | 0E | 16 | 1E | 26 | 2E | 36 | 3E |
| Edi        | [EDI]            | 00  | 111 | 07 | 0F | 17 | 1F | 27 | 2F | 37 | 3F |
| EcxDisp8   | [EAX]+disp8      | 01  | 000 | 40 | 48 | 50 |    |    |    |    |    |
| EdxDisp8   | [ECX]+disp8      | 01  | 001 | 41 | 49 | 51 |    |    |    |    |    |
| EdxDisp8   | [EDX]+disp8      | 01  | 010 | 42 | 4A | 52 |    |    |    |    |    |
| EbxDisp8   | [EBX]+disp8      | 01  | 011 | 43 | 4B | 53 |    |    |    |    |    |
| RRDisp8    | [--][--]+disp8   | 01  | 100 | 44 | 4C | 54 |    |    |    |    |    |
| EbpDisp8   | [EBP]+disp8      | 01  | 101 | 45 | 4D | 55 |    |    |    |    |    |
| EsiDisp8   | [ESI]+disp8      | 01  | 110 | 46 | 4E | 56 |    |    |    |    |    |
| EdiDisp8   | [EDI]+disp8      | 01  | 111 | 47 | 4F | 57 |    |    |    |    |    |
| EaxDisp32  | EAX]+disp32      | 10  | 000 |    |    |    |    |    |    |    |    |
| EcxDisp32  | [ECX]+disp32     | 10  | 001 |    |    |    |    |    |    |    |    |
| EdxDisp32  | [EDX]+disp32     | 10  | 010 |    |    |    |    |    |    |    |    |
| EbxDisp32  | [EBX]+disp32     | 10  | 011 |    |    |    |    |    |    |    |    |
| RRDisp32   | [--][--]+disp32  | 10  | 100 |    |    |    |    |    |    |    |    |
| EbpDisp32  | [EBP]+disp32     | 10  | 101 |    |    |    |    |    |    |    |    |
| EsiDisp32  | [ESI]+disp32     | 10  | 110 |    |    |    |    |    |    |    |    |
| EdiDisp32  | [EDI]+disp32     | 10  | 111 |    |    |    |    |    |    |    |    |
| Y0         | Y0               | 11  | 000 | C0 | C8 | D0 | D8 | E0 | E8 | F0 | F8 |
| Y1         | Y1               | 11  | 001 | C1 | C9 | D1 | D9 | E1 | E9 | F1 | F9 |
| Y2         | Y2               | 11  | 010 | C2 | CA | D2 | DA | E2 | EA | F2 | FA |
| Y3         | Y3               | 11  | 011 | C3 | CB | D3 | DB | E3 | EB | F3 | FB |
| Y4         | Y4               | 11  | 100 | C4 | CC | D4 | DC | E4 | EC | F4 | FC |
| Y5         | Y5               | 11  | 101 | C5 | CD | D5 | DD | E5 | ED | F5 | FD |
| Y6         | Y6               | 11  | 110 | C6 | CE | D6 | DE | E6 | EE | F6 | FE |
| Y7         | Y7               | 11  | 111 | C7 | CF | D7 | DF | E7 | EF | F7 | FF |

