| Name         | Identifier   | Symbol      | Description                                                                                                                                                                                                                                                                                                                                                                                                                               |
| SSE3         | SSE3         | sse3        | Streaming SIMD Extensions 3 (SSE3)                                                                                                                                                                                                                                                                                                                                                                                                        |
| PCLMULQDQ    | PCLMULQDQ    | pclmulqdq   | PCLMULQDQ.                                                                                                                                                                                                                                                                                                                                                                                                                                |
| DTES64       | DTES64       | dtes64      | 64-bit DS Area                                                                                                                                                                                                                                                                                                                                                                                                                            |
| MONITOR      | MONITOR      | monitor     | MONITOR/MWAIT.                                                                                                                                                                                                                                                                                                                                                                                                                            |
| DS-CPL       | DS_CPL       | dscpl       | CPL Qualified Debug Store                                                                                                                                                                                                                                                                                                                                                                                                                 |
| VMX          | VMX          | vmx         | Virtual Machine Extensions                                                                                                                                                                                                                                                                                                                                                                                                                |
| SMX          | SMX          | smx         | Safer Mode Extensions                                                                                                                                                                                                                                                                                                                                                                                                                     |
| EIST         | EIST         | eist        | Enhanced Intel SpeedStep® technology                                                                                                                                                                                                                                                                                                                                                                                                      |
| TM2          | TM2          | tm2         | Thermal Monitor 2                                                                                                                                                                                                                                                                                                                                                                                                                         |
| SSSE3        | SSSE3        | sse3        | Supplemental Streaming SIMD Extensions 3 (SSSE3)                                                                                                                                                                                                                                                                                                                                                                                          |
| CNXT-ID      | CNXT_ID      | cntxid      | L1 Context ID                                                                                                                                                                                                                                                                                                                                                                                                                             |
| SDBG         | SDBG         | sdbg        | IA32_DEBUG_INTERFACE MSR for silicon debug.                                                                                                                                                                                                                                                                                                                                                                                               |
| FMA          | FMA          | fma         | FMA extensions using YMM state.                                                                                                                                                                                                                                                                                                                                                                                                           |
| CMPXCHG16B   | CMPXCHG16B   | cmpxchg16b  | CMPXCHG16B Available. A value of 1 indicates that the feature is available                                                                                                                                                                                                                                                                                                                                                                |
| xTPR         | xTPR         | xptr        | Update Control xTPR Update Control. A value of 1 indicates that the processor supports changing IA32_MISC_ENABLE[bit 23].                                                                                                                                                                                                                                                                                                                 |
| PDCM         | PDCM         | pdcm        | Perfmon and Debug Capability: A value of 1 indicates the processor supports the performance and debug feature indication MSR IA32_PERF_CAPABILITIES.                                                                                                                                                                                                                                                                                      |
| PCID         | PCID         | pcid        | Process-context identifiers. A value of 1 indicates that the processor supports PCIDs and that software may set CR4.PCIDE to 1.                                                                                                                                                                                                                                                                                                           |
| DCA          | DCA          | dca         | Data prefetch from a memory mapped device.                                                                                                                                                                                                                                                                                                                                                                                                |
| SSE4.1       | SSE41        | sse41       | SSE4.1.                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| SSE4.2       | SSE42        | sse42       | SSE4.2.                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| x2APIC       | x2APIC       | x2apic      | THe x2APIC feature.                                                                                                                                                                                                                                                                                                                                                                                                                       |
| MOVBE        | MOVBE        | movbe       | The MOVBE instruction.                                                                                                                                                                                                                                                                                                                                                                                                                    |
| POPCNT       | POPCNT       | popcnt      | The POPCNT instruction.                                                                                                                                                                                                                                                                                                                                                                                                                   |
| TSC-Deadline | TSC_Deadline | tscdeadline | APIC timer supports one-shot operation using a TSC deadline value.                                                                                                                                                                                                                                                                                                                                                                        |
| AESNI        | AESNI        | aesni       | The AESNI instruction extensions.                                                                                                                                                                                                                                                                                                                                                                                                         |
| XSAVE        | XSAVE        | xsave       | The XSAVE/XRSTOR processor extended states feature, the XSETBV/XGETBV instructions, and XCR0.                                                                                                                                                                                                                                                                                                                                             |
