| Opcode                   | Instruction                                       | Op/En | 64/32 bit Mode Support | CPUID Feature Flag | Description                                                                                               |
| NP 0F 68 / r             | PUNPCKHBW mm, mm/m64                              | A     | V/V                    | MMX                | Unpack and interleave high-order bytes from mm and mm/m64 into mm .                                       |
| 66 0F 68 / r             | PUNPCKHBW xmm1 , xmm2/m128                        | A     | V/V                    | SSE2               | Unpack and interleave high-order bytes from xmm1 and xmm2/m128 into xmm1 .                                |
| NP 0F 69 / r             | PUNPCKHWD mm, mm/m64                              | A     | V/V                    | MMX                | Unpack and interleave high-order words from mm and mm/m64 into mm .                                       |
| 66 0F 69 / r             | PUNPCKHWD xmm1 , xmm2/m128                        | A     | V/V                    | SSE2               | Unpack and interleave high-order words from xmm1 and xmm2/m128 into xmm1 .                                |
| NP 0F 6A / r             | PUNPCKHDQ mm, mm/m64                              | A     | V/V                    | MMX                | Unpack and interleave high-order doublewords from mm and mm/m64 into mm .                                 |
| 66 0F 6A / r             | PUNPCKHDQ xmm1 , xmm2/m128                        | A     | V/V                    | SSE2               | Unpack and interleave high-order doublewords from xmm1 and xmm2/m128 into xmm1 .                          |
| 66 0F 6D / r             | PUNPCKHQDQ xmm1 , xmm2/m128                       | A     | V/V                    | SSE2               | Unpack and interleave high-order quadwords from xmm1 and xmm2/m128 into xmm1.                             |
| VEX.128.66.0F.WIG 68/r   | VPUNPCKHBW xmm1,xmm2, xmm3/m128                   | B     | V/V                    | AVX                | Interleave high-order bytes from xmm2 and xmm3/m128 into xmm1 .                                           |
| VEX.128.66.0F.WIG 69/r   | VPUNPCKHWD xmm1,xmm2, xmm3/m128                   | B     | V/V                    | AVX                | Interleave high-order words from xmm2 and xmm3/m128 into xmm1 .                                           |
| VEX.128.66.0F.WIG 6A/r   | VPUNPCKHDQ xmm1, xmm2, xmm3/m128                  | B     | V/V                    | AVX                | Interleave high-order doublewords from xmm2 and xmm3/m128 into xmm1 .                                     |
| VEX.128.66.0F.WIG 6D/r   | VPUNPCKHQDQ xmm1, xmm2, xmm3/m128                 | B     | V/V                    | AVX                | Interleave high-order quadword from xmm2 and xmm3/m128 into xmm1 register.                                |
| VEX.256.66.0F.WIG 68 /r  | VPUNPCKHBW ymm1, ymm2, ymm3/m256                  | B     | V/V                    | AVX2               | Interleave high-order bytes from ymm2 and ymm3/m256 into ymm1 register.                                   |
| VEX.256.66.0F.WIG 69 /r  | VPUNPCKHWD ymm1, ymm2, ymm3/m256                  | B     | V/V                    | AVX2               | Interleave high-order words from ymm2 and ymm3/m256 into ymm1 register.                                   |
| VEX.256.66.0F.WIG 6A /r  | VPUNPCKHDQ ymm1, ymm2, ymm3/m256                  | B     | V/V                    | AVX2               | Interleave high-order doublewords from ymm2 and ymm3/m256 into ymm1 register.                             |
| VEX.256.66.0F.WIG 6D /r  | VPUNPCKHQDQ ymm1, ymm2, ymm3/m256                 | B     | V/V                    | AVX2               | Interleave high-order quadword from ymm2 and ymm3/m256 into ymm1 register.                                |
| EVEX.128.66.0F.WIG 68 /r | VPUNPCKHBW xmm1 {k1}{z}, xmm2, xmm3/m128          | C     | V/V                    | AVX512VL AVX512BW  | Interleave high-order bytes from xmm2 and xmm3/m128 into xmm1 register using k1 write mask.               |
| EVEX.128.66.0F.WIG 69 /r | VPUNPCKHWD xmm1 {k1}{z}, xmm2, xmm3/m128          | C     | V/V                    | AVX512VL AVX512BW  | Interleave high-order words from xmm2 and xmm3/m128 into xmm1 register using k1 write mask.               |
| EVEX.128.66.0F.W0 6A /r  | VPUNPCKHDQ xmm1 {k1}{z}, xmm2, xmm3/m128/m32bcst  | D     | V/V                    | AVX512VL AVX512F   | Interleave high-order doublewords from xmm2 and xmm3/m128/m32bcst into xmm1 register using k1 write mask. |
| EVEX.128.66.0F.W1 6D /r  | VPUNPCKHQDQ xmm1 {k1}{z}, xmm2, xmm3/m128/m64bcst | D     | V/V                    | AVX512VL AVX512F   | Interleave high-order quadword from xmm2 and xmm3/m128/m64bcst into xmm1 register using k1 write mask.    |
| EVEX.256.66.0F.WIG 68 /r | VPUNPCKHBW ymm1 {k1}{z}, ymm2, ymm3/m256          | C     | V/V                    | AVX512VL AVX512BW  | Interleave high-order bytes from ymm2 and ymm3/m256 into ymm1 register using k1 write mask.               |
| EVEX.256.66.0F.WIG 69 /r | VPUNPCKHWD ymm1 {k1}{z}, ymm2, ymm3/m256          | C     | V/V                    | AVX512VL AVX512BW  | Interleave high-order words from ymm2 and ymm3/m256 into ymm1 register using k1 write mask.               |
| EVEX.256.66.0F.W0 6A /r  | VPUNPCKHDQ ymm1 {k1}{z}, ymm2, ymm3/m256/m32bcst  | D     | V/V                    | AVX512VL AVX512F   | Interleave high-order doublewords from ymm2 and ymm3/m256/m32bcst into ymm1 register using k1 write mask. |
| EVEX.256.66.0F.W1 6D /r  | VPUNPCKHQDQ ymm1 {k1}{z}, ymm2, ymm3/m256/m64bcst | D     | V/V                    | AVX512VL AVX512F   | Interleave high-order quadword from ymm2 and ymm3/m256/m64bcst into ymm1 register using k1 write mask.    |
| EVEX.512.66.0F.WIG 68/r  | VPUNPCKHBW zmm1 {k1}{z}, zmm2, zmm3/m512          | C     | V/V                    | AVX512BW           | Interleave high-order bytes from zmm2 and zmm3/m512 into zmm1 register.                                   |
| EVEX.512.66.0F.WIG 69/r  | VPUNPCKHWD zmm1 {k1}{z}, zmm2, zmm3/m512          | C     | V/V                    | AVX512BW           | Interleave high-order words from zmm2 and zmm3/m512 into zmm1 register.                                   |
| EVEX.512.66.0F.W0 6A /r  | VPUNPCKHDQ zmm1 {k1}{z}, zmm2, zmm3/m512/m32bcst  | D     | V/V                    | AVX512F            | Interleave high-order doublewords from zmm2 and zmm3/m512/m32bcst into zmm1 register using k1 write mask. |
| EVEX.512.66.0F.W1 6D /r  | VPUNPCKHQDQ zmm1 {k1}{z}, zmm2, zmm3/m512/m64bcst | D     | V/V                    | AVX512F            | Interleave high-order quadword from zmm2 and zmm3/m512/m64bcst into zmm1 register using k1 write mask.    |
