# https://wiki.osdev.org/CPU_Registers_x86
| Reg    | Bit   | Mnemonic   | Description                                                                                         |
| cr0    | 0     | pe         | protected mode enable                                                                               |
| cr0    | 1     | mp         | monitor co-processor                                                                                |
| cr0    | 2     | em         | emulation                                                                                           |
| cr0    | 3     | ts         | task switched                                                                                       |
| cr0    | 4     | et         | extension type                                                                                      |
| cr0    | 5     | ne         | numeric error                                                                                       |
| cr0    | 16    | wp         | write protect                                                                                       |
| cr0    | 18    | am         | alignment mask                                                                                      |
| cr0    | 29    | nw         | not-write through                                                                                   |
| cr0    | 30    | cd         | cache disable                                                                                       |
| cr0    | 31    | pg         | paging                                                                                              |
| cr4    | 0     | vme        | virtual 8086 mode extensions                                                                        |
| cr4    | 1     | pvi        | protected mode virtual interrupts                                                                   |
| cr4    | 2     | tsd        | time stamp disable                                                                                  |
| cr4    | 3     | de         | debugging extensions                                                                                |
| cr4    | 4     | pse        | page size extension                                                                                 |
| cr4    | 5     | pae        | physical address extension                                                                          |
| cr4    | 6     | mce        | machine check exception                                                                             |
| cr4    | 7     | pge        | page global enable                                                                                  |
| cr4    | 8     | pce        | performance monitoring counter enable                                                               |
| cr4    | 9     | osfxsr     | os support for fxsave and fxrstor instructions                                                      |
| cr4    | 10    | osxmmexcpt | os support for unmasked simd floating point exceptions                                              |
| cr4    | 11    | umip       | user mode instruction prevention (#GP on SGDT, SIDT, SLDT, SMSW, and STR instructions when CPL > 0) |
| cr4    | 13    | vmxe       | virtual machine extensions enable                                                                   |
| cr4    | 14    | smxe       | safer mode extensions enable                                                                        |
| cr4    | 17    | pcide      | pcid enable                                                                                         |
| cr4    | 18    | osxsave    | xsave and processor extended states enable                                                          |
| cr4    | 20    | smep       | supervisor mode executions protection enable                                                        |
| cr4    | 21    | smap       | supervisor mode access protection enable                                                            |
| cr4    | 22    | pke        | protection keys for user-mode pages enable                                                          |
| cr4    | 23    | cet        | control-flow-enforcement enable                                                                     |
| cr4    | 24    | pks        | protection keys for supervisor-mode pages enable                                                    |
| RFlags | 0     | cf         | carry flag                                                                                          |
| RFlags | 2     | pf         | parity flag                                                                                         |
| RFlags | 4     | af         | auxiliary flag                                                                                      |
| RFlags | 6     | zf         | zero flag                                                                                           |
| RFlags | 7     | sf         | sign flag                                                                                           |
| RFlags | 8     | tf         | trap flag                                                                                           |
| RFlags | 9     | if         | interrupt flag                                                                                      |
| RFlags | 10    | df         | direction flag                                                                                      |
| RFlags | 11    | of         | overflow flag                                                                                       |
| RFlags | 12-13 | iopl       | i/o privilege level                                                                                 |
| RFlags | 14    | nt         | nested task flag                                                                                    |
| RFlags | 16    | rf         | resume flag                                                                                         |
| RFlags | 17    | vm         | virtual 8086 mode flag                                                                              |
| RFlags | 18    | ac         | alignment check flag                                                                                |
| RFlags | 19    | vif        | virtual interrupt flag                                                                              |
| RFlags | 20    | vip        | virtual interrupt pending                                                                           |
| RFlags | 21    | id         | id flag                                                                                             |
