| Kind         | Identifier | Value | Description   |
| Mode64       | Valid      | V     | Supported     |
| Mode64       | Invalid    | I     | Not supported |
| Mode64       | NE         | NE    | Not encodable |
| LegacyMode   | Valid      | V     | Supported     |
| LegacyMode   | Invalid    | I     | Not supported |
| LegacyMode   | NE         | NE    | Not encodable |
| EFlag        | OF         | E.OF  | Overflow flag |
| EFlag        | SF         | E.SF  | Sign Flag     |
| EFlag        | ZF         | E.ZF  | Zero flag     |
| EFlag        | AF         | E.AF  | .             |
| EFlag        | CF         | E.CF  | Carry flag    |
| EncodingKind | D          | D     | .             |
| EncodingKind | FD         | FD    | .             |
| EncodingKind | I          | I     | .             |
| EncodingKind | M          | M     | .             |
| EncodingKind | M1         | M1    | .             |
| EncodingKind | MC         | MC    | .             |
| EncodingKind | MI         | MI    | .             |
| EncodingKind | MR         | MR    | .             |
| EncodingKind | NP         | NP    | .             |
| EncodingKind | O          | O     | .             |
| EncodingKind | OT         | OT    | .             |
| EncodingKind | RM         | RM    | .             |
| EncodingKind | RVM        | RVM   | .             |
| EncodingKind | RM0        | RM0   | .             |
| EncodingKind | RVMI       | RVMI  | .             |
| EncodingKind | RVMR       | RVMR  | .             |
| EncodingKind | TD         | TD    | .             |
| EncodingKind | TO         | TO    | .             |
| EncodingKind | VM         | VM    | .             |
| Property     | R          | R     | .             |
| Property     | RW         | RW    | .             |
| Property     | W         | W    | .             |
| Property     | Z         | Z    | .             |

