| Opcode                   | Instruction                                  | Op/En | 64/32 bit Mode Support | CPUID Feature Flag | Description                                                                                                          | |
| NP 0F DB / r 1           | PAND mm, mm/m64                              | A     | V/V                    | MMX                | Bitwise AND mm/m64 and mm .                                                                                          | |
| 66 0F DB / r             | PAND xmm1 , xmm2/m128                        | A     | V/V                    | SSE2               | Bitwise AND of xmm2/m128 and xmm1 .                                                                                  | |
| VEX.128.66.0F.WIG DB /r  | VPAND xmm1, xmm2, xmm3/m128                  | B     | V/V                    | AVX                | Bitwise AND of xmm3/m128 and xmm .                                                                                   | |
| VEX.256.66.0F.WIG DB /r  | VPAND ymm1, ymm2, ymm3/m256                  | B     | V/V                    | AVX2               | Bitwise AND of ymm2 , and ymm3/m256 and store result in ymm1 .                                                       | |
| EVEX.128.66.0F.W0 DB /r  | VPANDD xmm1 {k1}{z}, xmm2, xmm3/m128/m32bcst | C     | V/V                    | AVX512VL AVX512F   | Bitwise AND of packed doubleword integers in xmm2 and xmm3/m128/m32bcst and store result in xmm1 using writemask k1. | |
| EVEX.256.66.0F.W0 DB /r  | VPANDD ymm1 {k1}{z}, ymm2, ymm3/m256/m32bcst | C     | V/V                    | AVX512VL AVX512F   | Bitwise AND of packed doubleword integers in ymm2 and ymm3/m256/m32bcst and store result in ymm1 using writemask k1. | |
| EVEX.512.66.0F.W0 DB / r | VPANDD zmm1 {k1}{z}, zmm2, zmm3/m512/m32bcst | C     | V/V                    | AVX512F            | Bitwise AND of packed doubleword integers in zmm2 and zmm3/m512/m32bcst and store result in zmm1 using writemask k1. | |
| EVEX.128.66.0F.W1 DB /r  | VPANDQ xmm1 {k1}{z}, xmm2, xmm3/m128/m64bcst | C     | V/V                    | AVX512VL AVX512F   | Bitwise AND of packed quadword integers in xmm2 and xmm3/m128/m64bcst and store result in xmm1 using writemask k1.   | |
| EVEX.256.66.0F.W1 DB /r  | VPANDQ ymm1 {k1}{z}, ymm2, ymm3/m256/m64bcst | C     | V/V                    | AVX512VL AVX512F   | Bitwise AND of packed quadword integers in ymm2 and ymm3/m256/m64bcst and store result in ymm1 using writemask k1.   | |
| EVEX.512.66.0F.W1 DB / r | VPANDQ zmm1 {k1}{z}, zmm2, zmm3/m512/m64bcst | C     | V/V                    | AVX512F            | Bitwise AND of packed quadword integers in zmm2 and zmm3/m512/m64bcst and store result in zmm1 using writemask k1.   | |
