# AMD Vol 3[2.5.1]
| Syntax       | Description                                                                                                                                                                                                                                 |
| cReg         | Control register.                                                                                                                                                                                                                           |
| dReg         | Debug register.                                                                                                                                                                                                                             |
| imm8         | Byte (8-bit) immediate.                                                                                                                                                                                                                     |
| imm16        | Word (16-bit) immediate.                                                                                                                                                                                                                    |
| imm16/32     | Word (16-bit) or doubleword (32-bit) immediate.                                                                                                                                                                                             |
| imm32        | Doubleword (32-bit) immediate.                                                                                                                                                                                                              |
| imm32/64     | Doubleword (32-bit) or quadword (64-bit) immediate.                                                                                                                                                                                         |
| imm64        | Quadword (64-bit) immediate.                                                                                                                                                                                                                |
| mem          | An operand of unspecified size in memory.                                                                                                                                                                                                   |
| mem8         | Byte (8-bit) operand in memory.                                                                                                                                                                                                             |
| mem16        | Word (16-bit) operand in memory.                                                                                                                                                                                                            |
| mem16/32     | Word (16-bit) or doubleword (32-bit) operand in memory.                                                                                                                                                                                     |
| mem32        | Doubleword (32-bit) operand in memory.                                                                                                                                                                                                      |
| mem32/48     | Doubleword (32-bit) or 48-bit operand in memory.                                                                                                                                                                                            |
| mem48        | 48-bit operand in memory.                                                                                                                                                                                                                   |
| mem64        | Quadword (64-bit) operand in memory.                                                                                                                                                                                                        |
| mem128       | Double quadword (128-bit) operand in memory.                                                                                                                                                                                                |
| mem16:16     | Two sequential word (16-bit) operands in memory.                                                                                                                                                                                            |
| mem16:32     | A doubleword (32-bit) operand followed by a word (16-bit) operand in memory.                                                                                                                                                                |
| mem32real    | Single-precision (32-bit) floating-point operand in memory.                                                                                                                                                                                 |
| mem16int     | Word (16-bit) integer operand in memory.                                                                                                                                                                                                    |
| mem32int     | Doubleword (32-bit) integer operand in memory.                                                                                                                                                                                              |
| mem64real    | Double-precision (64-bit) floating-point operand in memory.                                                                                                                                                                                 |
| mem64int     | Quadword (64-bit) integer operand in memory.                                                                                                                                                                                                |
| mem80real    | Double-extended-precision (80-bit) floating-point operand in memory.                                                                                                                                                                        |
| mem80dec     | 80-bit packed BCD operand in memory, containing 18 4-bit BCD digits.                                                                                                                                                                        |
| mem2env      | 16-bit x87 control word or x87 status word.                                                                                                                                                                                                 |
| mem14/28env  | 14-byte or 28-byte x87 environment. The x87 environment consists of the x87 control word, x87 status word, x87 tag word, last non-control instruction pointer, last data pointer, and opcode of the last non-control instruction completed. |
| mem94/108env | 94-byte or 108-byte x87 environment and register stack.                                                                                                                                                                                     |
| mem512env    | 512-byte environment for 128-bit media, 64-bit media, and x87 instructions.                                                                                                                                                                 |
| mmx          | Quadword (64-bit) operand in an MMX register.                                                                                                                                                                                               |
| mmx1         | Quadword (64-bit) operand in an MMX register, specified as the left-most (first) operand in the instruction syntax.                                                                                                                         |
| mmx2         | Quadword (64-bit) operand in an MMX register, specified as the right-most (second) operand in the instruction syntax.                                                                                                                       |
| mmx/mem32    | Doubleword (32-bit) operand in an MMX register or memory.                                                                                                                                                                                   |
| mmx/mem64    | Quadword (64-bit) operand in an MMX register or memory.                                                                                                                                                                                     |
| mmx1/mem64   | Quadword (64-bit) operand in an MMX register or memory, specified as the left-most (first) operand in the instruction syntax.                                                                                                               |
| mmx2/mem64   | Quadword (64-bit) operand in an MMX register or memory, specified as the right-most (second) operand in the instruction syntax.                                                                                                             |
| moffset      | Direct memory offset that specifies an operand in memory.                                                                                                                                                                                   |
| moffset8     | Direct memory offset that specifies a byte (8-bit) operand in memory.                                                                                                                                                                       |
| moffset16    | Direct memory offset that specifies a word (16-bit) operand in memory.                                                                                                                                                                      |
| moffset32    | Direct memory offset that specifies a doubleword (32-bit) operand in memory.                                                                                                                                                                |
| moffset64    | Direct memory offset that specifies a quadword (64-bit) operand in memory.                                                                                                                                                                  |
| pntr16:16    | Far pointer with 16-bit selector and 16-bit offset.                                                                                                                                                                                         |
| pntr16:32    | Far pointer with 16-bit selector and 32-bit offset.                                                                                                                                                                                         |
| reg          | Operand of unspecified size in a GPR register.                                                                                                                                                                                              |
| reg8         | Byte (8-bit) operand in a GPR register.                                                                                                                                                                                                     |
| reg16        | Word (16-bit) operand in a GPR register.                                                                                                                                                                                                    |
| reg16/32     | Word (16-bit) or doubleword (32-bit) operand in a GPR register.                                                                                                                                                                             |
| reg32        | Doubleword (32-bit) operand in a GPR register.                                                                                                                                                                                              |
| reg64        | Quadword (64-bit) operand in a GPR register.                                                                                                                                                                                                |
| reg/mem8     | Byte (8-bit) operand in a GPR register or memory.                                                                                                                                                                                           |
| reg/mem16    | Word (16-bit) operand in a GPR register or memory.                                                                                                                                                                                          |
| reg/mem32    | Doubleword (32-bit) operand in a GPR register or memory.                                                                                                                                                                                    |
| reg/mem64    | Quadword (64-bit) operand in a GPR register or memory.                                                                                                                                                                                      |
| rel8off      | Signed 8-bit offset relative to the instruction pointer.                                                                                                                                                                                    |
| rel16off     | Signed 16-bit offset relative to the instruction pointer.                                                                                                                                                                                   |
| rel32off     | Signed 32-bit offset relative to the instruction pointer.                                                                                                                                                                                   |
| segReg       | Word (16-bit) operand in a segment register.                                                                                                                                                                                                |
| sReg         | Word (16-bit) operand in a segment register.                                                                                                                                                                                                |
| ST(0)        | x87 stack register 0.                                                                                                                                                                                                                       |
| ST(i)        | x87 stack register i, where i is between 0 and 7.                                                                                                                                                                                           |
| xmm          | Double quadword (128-bit) operand in an XMM register.                                                                                                                                                                                       |
| xmm1         | Double quadword (128-bit) operand in an XMM register, specified as the left-most (first) operand in the instruction syntax.                                                                                                                 |
| xmm2         | Double quadword (128-bit) operand in an XMM register, specified as the right-most (second) operand in the instruction syntax.                                                                                                               |
| xmm/mem64    | Quadword (64-bit) operand in a 128-bit XMM register or memory.                                                                                                                                                                              |
| xmm/mem128   | Double quadword (128-bit) operand in an XMM register or memory.                                                                                                                                                                             |
| xmm1/mem128  | Double quadword (128-bit) operand in an XMM register or memory, specified as the left-most (first) operand in the instruction syntax.                                                                                                       |
