# EFlag condition codes, Table B-1 Intel Vol1
| Mnemonic | Value | Description               | Group | StatusFlag            |
| O        | 0000  | Overflow                  | 0     | OF=1                  |
| NO       | 0001  | No overflow               | 0     | OF=0                  |
| B        | 0010  | Below                     | 0     | CF=1                  |
| NAE      | 0010  | Neither above nor equal   | 1     | CF=1                  |
| NB       | 0011  | Not Below                 | 0     | CF=0                  |
| AE       | 0011  | Above or equal            | 1     | CF=0                  |
| E        | 0100  | Equal                     | 0     | ZF=1                  |
| Z        | 0100  | Zero                      | 1     | ZF=1                  |
| NE       | 0101  | Not Equal                 | 0     | ZF=0                  |
| NZ       | 0101  | Not Zero                  | 1     | ZF=0                  |
| BE       | 0110  | Below or Equal            | 0     | (CF OR ZF)=1          |
| NA       | 0110  | Not above                 | 1     | (CF OR ZF)=1          |
| NBE      | 0111  | Neither Below nor Equal   | 0     | (CF OR ZF)=0          |
| A        | 0111  | Above                     | 1     | (CF OR ZF)=0          |
| S        | 1000  | Sign                      | 0     | SF=1                  |
| NS       | 1001  | No Sign                   | 0     | SF=0                  |
| P        | 1010  | Parity                    | 0     | PF=1                  |
| PE       | 1010  | Parity even               | 1     | PF=1                  |
| NP       | 1011  | No Parity                 | 0     | PF=0                  |
| PO       | 1011  | Parity odd                | 1     | PF=0                  |
| L        | 1100  | Less                      | 0     | (SF XOR OF)=1         |
| NGE      | 1100  | Neither greater nor equal | 1     | (SF XOR OF)=1         |
| NL       | 1101  | Not Less                  | 0     | (SF XOR OF)=0         |
| GE       | 1101  | Greater or equal          | 1     | (SF XOR OF)=0         |
| LE       | 1110  | Less or Equal             | 0     | ((SF XOR OF) OR ZF)=1 |
| NG       | 1110  | Not greater               | 1     | ((SF XOR OF) OR ZF)=1 |
| NLE      | 1111  | Neither less nor equal    | 0     | ((SF XOR OF) OR ZF)=0 |
| G        | 1111  | Greater                   | 1     | ((SF XOR OF) OR ZF)=0 |
