# EFLAGS Condition Tests, Table B-1 Intel Vol1
| OF | CF | ZF | SF | State | CC  |
| 0  | 0  | 0  | 0  | 0     | NBE |
| 0  | 0  | 0  | 1  | 0     | NBE |
| 0  | 0  | 1  | 0  | 1     | BE  |
| 0  | 0  | 1  | 1  | 1     | BE  |
| 0  | 1  | 0  | 0  | 1     | BE  |
| 0  | 1  | 0  | 1  | 1     | BE  |
| 0  | 1  | 1  | 0  | 1     | BE  |
| 0  | 1  | 1  | 1  | 1     | BE  |
| 1  | 0  | 0  | 0  | 0     | NBE |
| 1  | 0  | 0  | 1  | 0     | NBE |
| 1  | 0  | 1  | 0  | 1     | BE  |
| 1  | 0  | 1  | 1  | 1     | BE  |
| 1  | 1  | 0  | 0  | 1     | BE  |
| 1  | 1  | 0  | 1  | 1     | BE  |
| 1  | 1  | 1  | 0  | 1     | BE  |
| 1  | 1  | 1  | 1  | 1     | BE  |
| 0  | 0  | 0  | 0  | 0     | NL  |
| 0  | 0  | 0  | 1  | 1     | L   |
| 0  | 0  | 1  | 0  | 0     | NL  |
| 0  | 0  | 1  | 1  | 1     | L   |
| 0  | 1  | 0  | 0  | 0     | NL  |
| 0  | 1  | 0  | 1  | 1     | L   |
| 0  | 1  | 1  | 0  | 0     | NL  |
| 0  | 1  | 1  | 1  | 1     | L   |
| 1  | 0  | 0  | 0  | 1     | L   |
| 1  | 0  | 0  | 1  | 0     | NL  |
| 1  | 0  | 1  | 0  | 1     | L   |
| 1  | 0  | 1  | 1  | 0     | NL  |
| 1  | 1  | 0  | 0  | 1     | L   |
| 1  | 1  | 0  | 1  | 0     | NL  |
| 1  | 1  | 1  | 0  | 1     | L   |
| 1  | 1  | 1  | 1  | 0     | NL  |
| 0  | 0  | 0  | 0  |       |     |
| 0  | 0  | 0  | 1  |       |     |
| 0  | 0  | 1  | 0  |       |     |
| 0  | 0  | 1  | 1  |       |     |
| 0  | 1  | 0  | 0  |       |     |
| 0  | 1  | 0  | 1  |       |     |
| 0  | 1  | 1  | 0  |       |     |
| 0  | 1  | 1  | 1  |       |     |
| 1  | 0  | 0  | 0  |       |     |
| 1  | 0  | 0  | 1  |       |     |
| 1  | 0  | 1  | 0  |       |     |
| 1  | 0  | 1  | 1  |       |     |
| 1  | 1  | 0  | 0  |       |     |
| 1  | 1  | 0  | 1  |       |     |
| 1  | 1  | 1  | 0  |       |     |
| 1  | 1  | 1  | 1  |       |     |
