| Notation | Register | REX.B | RegField |
| +rb      | AL       | None  | 0        |
| +rb      | CL       | None  | 1        |
| +rb      | DL       | None  | 2        |
| +rb      | BL       | None  | 3        |
| +rb      | AH       | N.E.  | 4        |
| +rb      | CH       | N.E.  | 5        |
| +rb      | DH       | N.E.  | 6        |
| +rb      | BH       | N.E.  | 7        |
| +rb      | SPL      | Yes   | 4        |
| +rb      | BPL      | Yes   | 5        |
| +rb      | SIL      | Yes   | 6        |
| +rb      | DIL      | Yes   | 7        |
| +rb      | R8L      | Yes   | 0        |
| +rb      | R9L      | Yes   | 1        |
| +rb      | R10L     | Yes   | 2        |
| +rb      | R11L     | Yes   | 3        |
| +rb      | R12L     | Yes   | 4        |
| +rb      | R13L     | Yes   | 5        |
| +rb      | R14L     | Yes   | 6        |
| +rb      | R15L     | Yes   | 7        |
| +rw      | AX       | None  | 0        |
| +rw      | CX       | None  | 1        |
| +rw      | DX       | None  | 2        |
| +rw      | BX       | None  | 3        |
| +rw      | SP       | None  | 4        |
| +rw      | BP       | None  | 5        |
| +rw      | SI       | None  | 6        |
| +rw      | DI       | None  | 7        |
| +rw      | SP       | None  | 4        |
| +rw      | BP       | None  | 5        |
| +rw      | SI       | None  | 6        |
| +rw      | DI       | None  | 7        |
| +rw      | R8W      | Yes   | 0        |
| +rw      | R9W      | Yes   | 1        |
| +rw      | R10W     | Yes   | 2        |
| +rw      | R11W     | Yes   | 3        |
| +rw      | R12W     | Yes   | 4        |
| +rw      | R13W     | Yes   | 5        |
| +rw      | R14W     | Yes   | 6        |
| +rw      | R15W     | Yes   | 7        |
| +rd      | EAX      | None  | 0        |
| +rd      | ECX      | None  | 1        |
| +rd      | EDX      | None  | 2        |
| +rd      | EBX      | None  | 3        |
| +rd      | ESP      | None  | 4        |
| +rd      | EBP      | None  | 5        |
| +rd      | ESI      | None  | 6        |
| +rd      | EDI      | None  | 7        |
| +rd      | ESP      | None  | 4        |
| +rd      | EBP      | None  | 5        |
| +rd      | ESI      | None  | 6        |
| +rd      | EDI      | None  | 7        |
| +rd      | R8D      | Yes   | 0        |
| +rd      | R9D      | Yes   | 1        |
| +rd      | R10D     | Yes   | 2        |
| +rd      | R11D     | Yes   | 3        |
| +rd      | R12D     | Yes   | 4        |
| +rd      | R13D     | Yes   | 5        |
| +rd      | R14D     | Yes   | 6        |
| +rd      | R15D     | Yes   | 7        |
| +ro      | RAX      | None  | 0        |
| +ro      | RCX      | None  | 1        |
| +ro      | RDX      | None  | 2        |
| +ro      | RBX      | None  | 3        |
| +ro      | RSP      | None  | 4        |
| +ro      | RBP      | None  | 5        |
| +ro      | RSI      | None  | 6        |
| +ro      | RDI      | None  | 7        |
| +ro      | R8       | Yes   | 0        |
| +ro      | R9       | Yes   | 1        |
| +ro      | R10      | Yes   | 2        |
| +ro      | R11      | Yes   | 3        |
| +ro      | R12      | Yes   | 4        |
| +ro      | R13      | Yes   | 5        |
| +ro      | R14      | Yes   | 6        |
| +ro      | R15      | Yes   | 7        |
