| Opcode                  | Instruction                     | Op / En | 64/32 bit Mode Support | CPUID Feature Flag | Description                                                                                             |
| 66 0F 10 /r             | MOVUPD xmm1, xmm2/m128          | A       | V/V                    | SSE2               | Move unaligned packed double-precision floating-point from xmm2/mem to xmm1.                            |
| 66 0F 11 /r             | MOVUPD xmm2/m128, xmm1          | B       | V/V                    | SSE2               | Move unaligned packed double-precision floating-point from xmm1 to xmm2/mem.                            |
| VEX.128.66.0F.WIG 10 /r | VMOVUPD xmm1, xmm2/m128         | A       | V/V                    | AVX                | Move unaligned packed double-precision floating-point from xmm2/mem to xmm1.                            |
| VEX.128.66.0F.WIG 11 /r | VMOVUPD xmm2/m128, xmm1         | B       | V/V                    | AVX                | Move unaligned packed double-precision floating-point from xmm1 to xmm2/mem.                            |
| VEX.256.66.0F.WIG 10 /r | VMOVUPD ymm1, ymm2/m256         | A       | V/V                    | AVX                | Move unaligned packed double-precision floating-point from ymm2/mem to ymm1.                            |
| VEX.256.66.0F.WIG 11 /r | VMOVUPD ymm2/m256, ymm1         | B       | V/V                    | AVX                | Move unaligned packed double-precision floating-point from ymm1 to ymm2/mem.                            |
| EVEX.128.66.0F.W1 10 /r | VMOVUPD xmm1 {k1}{z}, xmm2/m128 | C       | V/V                    | AVX512VL AVX512F   | Move unaligned packed double-precision floating-point from xmm2/m128 to xmm1 using writemask k1.        |
| EVEX.128.66.0F.W1 11 /r | VMOVUPD xmm2/m128 {k1}{z}, xmm1 | D       | V/V                    | AVX512VL AVX512F   | Move unaligned packed double-precision floating-point from xmm1 to xmm2/m128 using writemask k1.        |
| EVEX.256.66.0F.W1 10 /r | VMOVUPD ymm1 {k1}{z}, ymm2/m256 | C       | V/V                    | AVX512VL AVX512F   | Move unaligned packed double-precision floating-point from ymm2/m256 to ymm1 using writemask k1.        |
| EVEX.256.66.0F.W1 11 /r | VMOVUPD ymm2/m256 {k1}{z}, ymm1 | D       | V/V                    | AVX512VL AVX512F   | Move unaligned packed double-precision floating-point from ymm1 to ymm2/m256 using writemask k1.        |
| EVEX.512.66.0F.W1 10 /r | VMOVUPD zmm1 {k1}{z}, zmm2/m512 | C       | V/V                    | AVX512F            | Move unaligned packed double-precision floating-point values from zmm2/m512 to zmm1 using writemask k1. |
| EVEX.512.66.0F.W1 11 /r | VMOVUPD zmm2/m512 {k1}{z}, zmm1 | D       | V/V                    | AVX512F            | Move unaligned packed double-precision floating-point values from zmm1 to zmm2/m512 using writemask k1. |

| Op/En | Tuple Type | Operand 1     | Operand 2     | Operand 3 | Operand 4 |
| A     | NA         | ModRM:reg (w) | ModRM:r/m (r) | NA        | NA        |
| B     | NA         | ModRM:r/m (w) | ModRM:reg (r) | NA        | NA        |
| C     | Full Mem   | ModRM:reg (w) | ModRM:r/m (r) | NA        | NA        |
| D     | Full Mem   | ModRM:r/m (w) | ModRM:reg (r) | NA        | NA        |
