# Syntax Illustration
----------------------------------------------------------------------------------------------------------------------------------
| Opcode           | Instruction       | Op/En | 64-bit Mode | Compat/Leg Mode | Description                                                                                   |
| 20 /r            | AND r/m8, r8      | MR    | Valid       | Valid           | r/m8 AND r8.                                                                                  |
| REX + 20 /r      | AND r/m8 * , r8 * | MR    | Valid       | N.E.            | r/m64 AND r8 (sign-extended).                                                                 |
| 21 / r           | AND r/m16, r16    | MR    | Valid       | Valid           | r/m16 AND r16.                                                                                |
| 21 / r           | AND r/m32, r32    | MR    | Valid       | Valid           | r/m32 AND r32.                                                                                |
| REX.W + 21 / r   | AND r/m64, r64    | MR    | Valid       | N.E.            | r/m64 AND r32.                                                                                |
| 22 / r           | AND r8, r/m8      | RM    | Valid       | Valid           | r8 AND r/m8.                                                                                  |
| REX + 22 / r     | AND r8 * , r/m8 * | RM    | Valid       | N.E.            | r/m64 AND r8 (sign-extended).                                                                 |
| 23 / r           | AND r16, r/m16    | RM    | Valid       | Valid           | r16 AND r/m16.                                                                                |
| 23 / r           | AND r32, r/m32    | RM    | Valid       | Valid           | r32 AND r/m32.                                                                                |
| REX.W + 23 / r   | AND r64, r/m64    | RM    | Valid       | N.E.            | r64 AND r/m64.                                                                                |
| 24 ib            | AND AL, imm8      | I     | Valid       | Valid           | AL AND imm8.                                                                                  |
| 25 iw            | AND AX, imm16     | I     | Valid       | Valid           | AX AND i mm16.                                                                                |
| 25 id            | AND EAX, imm32    | I     | Valid       | Valid           | EAX AND imm32.                                                                                |
| REX.W + 25 id    | AND RAX, imm32    | I     | Valid       | N.E.            | RAX AND imm32 sign-extended to 64-bits.                                                       |
| 80 /4 ib         | AND r/m8, imm8    | MI    | Valid       | Valid           | r/m8 AND imm8.                                                                                |
| REX + 80 /4 ib   | AND r/m8 * , imm8 | MI    | Valid       | N.E.            | r/m8 AND imm8.                                                                                |
| 81 /4 iw         | AND r/m16, imm16  | MI    | Valid       | Valid           | r/m16 AND imm16.                                                                              |
| 81 /4 id         | AND r/m32, imm32  | MI    | Valid       | Valid           | r/m32 AND imm32.                                                                              |
| REX.W + 81 /4 id | AND r/m64, imm32  | MI    | Valid       | N.E.            | r/m64 AND imm32 sign extended to 64-bits.                                                     |
| 83 /4 ib         | AND r/m16, imm8   | MI    | Valid       | Valid           | r/m16 AND imm8 (sign-extended).                                                               |
| 83 /4 ib         | AND r/m32, imm8   | MI    | Valid       | Valid           | r/m32 AND imm8 (sign-extended).                                                               |
| REX.W + 83 /4 ib | AND r/m64, imm8   | MI    | Valid       | N.E.            | r/m64 AND imm8 (sign-extended).                                                               |
| EB cb            | JMP rel8          | D     | Valid       | Valid           | Jump short, RIP = RIP + 8-bit displacement sign extended to 64-bits                           |
| E9 cw            | JMP rel16         | D     | N.S.        | Valid           | Jump near, relative, displacement relative to next instruction. Not supported in 64-bit mode. |
| E9 cd            | JMP rel32         | D     | Valid       | Valid           | Jump near, relative, RIP = RIP + 32-bit displacement sign extended to 64-bits                 |
| FF /4            | JMP r/m16         | M     | N.S.        | Valid           | Jump near, absolute indirect, address = zero-extended r/m16. Not supported in 64-bit mode.    |
| FF /4            | JMP r/m32         | M     | N.S.        | Valid           | Jump near, absolute indirect, address given in r/m32. Not supported in 64-bit mode.           |
| FF /4            | JMP r/m64         | M     | Valid       | N.E.            | Jump near, absolute indirect, RIP = 64-Bit offset from register or memory                     |
| EA cd            | JMP ptr16:16      | D     | Inv.        | Valid           | Jump far, absolute, address given in operand                                                  |
| EA cp            | JMP ptr16:32      | D     | Inv.        | Valid           | Jump far, absolute, address given in operand                                                  |
| FF /5            | JMP m16:16        | D     | Valid       | Valid           | Jump far, absolute indirect, address given in m16:16                                          |
| FF /5            | JMP m16:32        | D     | Valid       | Valid           | Jump far, absolute indirect, address given in m16:32.                                         |
| REX.W FF /5      | JMP m16:64        | D     | Valid       | N.E.            | Jump far, absolute indirect, address given in m16:64 .                                        |
| 38 / r           | CMP r/m8, r8      | MR    | Valid       | Valid           | Compare r8 with r/m8.                              |
| 39 / r           | CMP r/m16, r16    | MR    | Valid       | Valid           | Compare r16 with r/m16.                            |
| 39 / r           | CMP r/m32, r32    | MR    | Valid       | Valid           | Compare r32 with r/m32.                            |
| REX + 38 / r     | CMP r/m8 * , r8 * | MR    | Valid       | N.E.            | Compare r8 with r/m8.                              |
| REX.W + 39 / r   | CMP r/m64,r64     | MR    | Valid       | N.E.            | Compare r64 with r/m64.                            |
| 3A / r           | CMP r8, r/m8      | RM    | Valid       | Valid           | Compare r/m8 with r8.                              |
| REX + 3A / r     | CMP r8 * , r/m8 * | RM    | Valid       | N.E.            | Compare r/m8 with r8.                              |
| 3B / r           | CMP r16, r/m16    | RM    | Valid       | Valid           | Compare r/m16 with r16.                            |
| 3B / r           | CMP r32, r/m32    | RM    | Valid       | Valid           | Compare r/m32 with r32.                            |
| REX.W + 3B / r   | CMP r64, r/m64    | RM    | Valid       | N.E.            | Compare r/m64 with r64.                            |
| 3C ib            | CMP AL, imm8      | I     | Valid       | Valid           | Compare imm8 with AL.                              |
| 3D iw            | CMP AX, imm16     | I     | Valid       | Valid           | Compare imm16 with AX.                             |
| REX.W + 3D id    | CMP RAX, imm32    | I     | Valid       | N.E.            | Compare imm32 sign-extended to 64-bits with RAX.   |
| 3D id            | CMP EAX, imm32    | I     | Valid       | Valid           | Compare imm32 with EAX.                            |
| 80 /7 ib         | CMP r/m8, imm8    | MI    | Valid       | Valid           | Compare imm8 with r/m8.                            |
| REX + 80 /7 ib   | CMP r/m8 * , imm8 | MI    | Valid       | N.E.            | Compare imm8 with r/m8.                            |
| 81 /7 iw         | CMP r/m16, imm16  | MI    | Valid       | Valid           | Compare imm16 with r/m16.                          |
| 81 /7 id         | CMP r/m32, imm32  | MI    | Valid       | Valid           | Compare imm32 with r/m32.                          |
| REX.W + 81 /7 id | CMP r/m64, imm32  | MI    | Valid       | N.E.            | Compare imm32 sign-extended to 64-bits with r/m64. |
| 83 /7 ib         | CMP r/m16, imm8   | MI    | Valid       | Valid           | Compare imm8 with r/m16.                           |
| 83 /7 ib         | CMP r/m32, imm8   | MI    | Valid       | Valid           | Compare imm8 with r/m32.                           |
| REX.W + 83 /7 ib | CMP r/m64, imm8   | MI    | Valid       | N.E.            | Compare imm8 with r/m64.                           |
