| Reg  | Size | REX.B | Code | 
| AL   | 8    | N     | 0    |
| CL   | 8    | N     | 1    |
| DL   | 8    | N     | 2    |
| BL   | 8    | N     | 3    |
| AH   | 8    | NE    | 4    |
| CH   | 8    | NE    | 5    |
| DH   | 8    | NE    | 6    |
| BH   | 8    | NE    | 7    |
| SPL  | 8    | Y     | 4    |
| BPL  | 8    | Y     | 5    |
| SIL  | 8    | Y     | 6    |
| DIL  | 8    | Y     | 7    |
| R8L  | 8    | Y     | 0    |
| R9L  | 8    | Y     | 1    |
| R10L | 8    | Y     | 2    |
| R11L | 8    | Y     | 3    |
| R12L | 8    | Y     | 4    |
| R13L | 8    | Y     | 5    |
| R14L | 8    | Y     | 6    |
| R15L | 8    | Y     | 7    |
| AX   | 16   | N     | 0    |
| CX   | 16   | N     | 1    |
| DX   | 16   | N     | 2    |
| BX   | 16   | N     | 3    |
| SP   | 16   | N     | 4    |
| BP   | 16   | N     | 5    |
| SI   | 16   | N     | 6    |
| DI   | 16   | N     | 7    |
| SP   | 16   | N     | 4    |
| BP   | 16   | N     | 5    |
| SI   | 16   | N     | 6    |
| DI   | 16   | N     | 7    |
| R8W  | 16   | Y     | 0    |
| R9W  | 16   | Y     | 1    |
| R10W | 16   | Y     | 2    |
| R11W | 16   | Y     | 3    |
| R12W | 16   | Y     | 4    |
| R13W | 16   | Y     | 5    |
| R14W | 16   | Y     | 6    |
| R15W | 16   | Y     | 7    |
| EAX  | 32   | N     | 0    |
| ECX  | 32   | N     | 1    |
| EDX  | 32   | N     | 2    |
| EBX  | 32   | N     | 3    |
| ESP  | 32   | N     | 4    |
| EBP  | 32   | N     | 5    |
| ESI  | 32   | N     | 6    |
| EDI  | 32   | N     | 7    |
| ESP  | 32   | N     | 4    |
| EBP  | 32   | N     | 5    |
| ESI  | 32   | N     | 6    |
| EDI  | 32   | N     | 7    |
| R8D  | 32   | Y     | 0    |
| R9D  | 32   | Y     | 1    |
| R10D | 32   | Y     | 2    |
| R11D | 32   | Y     | 3    |
| R12D | 32   | Y     | 4    |
| R13D | 32   | Y     | 5    |
| R14D | 32   | Y     | 6    |
| R15D | 32   | Y     | 7    |
| RAX  | 64   | N     | 0    |
| RCX  | 64   | N     | 1    |
| RDX  | 64   | N     | 2    |
| RBX  | 64   | N     | 3    |
| RSP  | 64   | N     | 4    |
| RBP  | 64   | N     | 5    |
| RSI  | 64   | N     | 6    |
| RDI  | 64   | N     | 7    |
| R8   | 64   | Y     | 0    |
| R9   | 64   | Y     | 1    |
| R10  | 64   | Y     | 2    |
| R11  | 64   | Y     | 3    |
| R12  | 64   | Y     | 4    |
| R13  | 64   | Y     | 5    |
| R14  | 64   | Y     | 6    |
| R15  | 64   | Y     | 7    |
