# Register Codes Associated With +rb, +rw, +rd, +ro
-----------------------------------------------------------------------------------------------
| Register | REX.B | Reg Field |
| AL       | None  | 0         |
| AX       | None  | 0         |
| EAX      | None  | 0         |
| RAX      | None  | 0         |
| CL       | None  | 1         |
| CX       | None  | 1         |
| ECX      | None  | 1         |
| RCX      | None  | 1         |
| DL       | None  | 2         |
| DX       | None  | 2         |
| EDX      | None  | 2         |
| RDX      | None  | 2         |
| BL       | None  | 3         |
| BX       | None  | 3         |
| EBX      | None  | 3         |
| RBX      | None  | 3         |
| AH       | N.E.  | 4         |
| SP       | None  | 4         |
| ESP      | None  | 4         |
| CH       | N.E.  | 5         |
| BP       | None  | 5         |
| EBP      | None  | 5         |
| DH       | N.E.  | 6         |
| SI       | None  | 6         |
| ESI      | None  | 6         |
| BH       | N.E.  | 7         |
| DI       | None  | 7         |
| EDI      | None  | 7         |
| SPL      | Yes   | 4         |
| SP       | None  | 4         |
| ESP      | None  | 4         |
| RSP      | None  | 4         |
| BPL      | Yes   | 5         |
| BP       | None  | 5         |
| EBP      | None  | 5         |
| RBP      | None  | 5         |
| IL       | Yes   | 6         |
| SI       | None  | 6         |
| ESI      | None  | 6         |
| RSI      | None  | 6         |
| DIL      | Yes   | 7         |
| DI       | None  | 7         |
| EDI      | None  | 7         |
| RDI      | None  | 7         |
| R8L      | Yes   | 0         |
| R8W      | Yes   | 0         |
| R8D      | Yes   | 0         |
| R8       | Yes   | 0         |
| R9L      | Yes   | 1         |
| R9W      | Yes   | 1         |
| R9D      | Yes   | 1         |
| R9       | Yes   | 1         |
| R10L     | Yes   | 2         |
| R10W     | Yes   | 2         |
| R10D     | Yes   | 2         |
| R10      | Yes   | 2         |
| R11L     | Yes   | 3         |
| R11W     | Yes   | 3         |
| R11D     | Yes   | 3         |
| R11      | Yes   | 3         |
| R12L     | Yes   | 4         |
| R12W     | Yes   | 4         |
| R12D     | Yes   | 4         |
| R12      | Yes   | 4         |
| R13L     | Yes   | 5         |
| R13W     | Yes   | 5         |
| R13D     | Yes   | 5         |
| R13      | Yes   | 5         |
| R14L     | Yes   | 6         |
| R14W     | Yes   | 6         |
| R14D     | Yes   | 6         |
| R14      | Yes   | 6         |
| R15L     | Yes   | 7         |
| R15W     | Yes   | 7         |
| R15D     | Yes   | 7         |
| R15      | Yes   | 7         |
