| Sequence  | Id                                                | CodeInfo                      | Encoding    | FlowControl           | RflagsRead                          | RflagsUndefined                     | RflagsWritten                       | RflagsCleared                       | RflagsSet                           | RflagsInfo                          | Cpuid               | Flags               | OpInfo    
| 0         | INVALID                                           |                               | Legacy      | Exception             |                                     |                                     |                                     |                                     |                                     |                                     |                     |                     |           
| 1         | DeclareByte                                       |                               | Legacy      | Exception             |                                     |                                     |                                     |                                     |                                     |                                     |                     |                     |           
| 2         | DeclareWord                                       |                               | Legacy      | Exception             |                                     |                                     |                                     |                                     |                                     |                                     |                     |                     |           
| 3         | DeclareDword                                      |                               | Legacy      | Exception             |                                     |                                     |                                     |                                     |                                     |                                     |                     |                     |           
| 4         | DeclareQword                                      |                               | Legacy      | Exception             |                                     |                                     |                                     |                                     |                                     |                                     |                     |                     |           
| 5         | Add_rm8_r8                                        |                               | Legacy      | Next                  |                                     |                                     | OF, SF, ZF, AF, CF, PF              |                                     |                                     |                                     |                     |                     | ReadWrite, Read
| 6         | Add_rm16_r16                                      |                               | Legacy      | Next                  |                                     |                                     | OF, SF, ZF, AF, CF, PF              |                                     |                                     |                                     |                     |                     | ReadWrite, Read
| 7         | Add_rm32_r32                                      |                               | Legacy      | Next                  |                                     |                                     | OF, SF, ZF, AF, CF, PF              |                                     |                                     |                                     | INTEL386            |                     | ReadWrite, Read
| 8         | Add_rm64_r64                                      |                               | Legacy      | Next                  |                                     |                                     | OF, SF, ZF, AF, CF, PF              |                                     |                                     |                                     | X64                 |                     | ReadWrite, Read
| 9         | Add_r8_rm8                                        |                               | Legacy      | Next                  |                                     |                                     | OF, SF, ZF, AF, CF, PF              |                                     |                                     |                                     |                     |                     | ReadWrite, Read
| 10        | Add_r16_rm16                                      |                               | Legacy      | Next                  |                                     |                                     | OF, SF, ZF, AF, CF, PF              |                                     |                                     |                                     |                     |                     | ReadWrite, Read
| 11        | Add_r32_rm32                                      |                               | Legacy      | Next                  |                                     |                                     | OF, SF, ZF, AF, CF, PF              |                                     |                                     |                                     | INTEL386            |                     | ReadWrite, Read
| 12        | Add_r64_rm64                                      |                               | Legacy      | Next                  |                                     |                                     | OF, SF, ZF, AF, CF, PF              |                                     |                                     |                                     | X64                 |                     | ReadWrite, Read
| 13        | Add_AL_imm8                                       |                               | Legacy      | Next                  |                                     |                                     | OF, SF, ZF, AF, CF, PF              |                                     |                                     |                                     |                     |                     | ReadWrite, Read
| 14        | Add_AX_imm16                                      |                               | Legacy      | Next                  |                                     |                                     | OF, SF, ZF, AF, CF, PF              |                                     |                                     |                                     |                     |                     | ReadWrite, Read
| 15        | Add_EAX_imm32                                     |                               | Legacy      | Next                  |                                     |                                     | OF, SF, ZF, AF, CF, PF              |                                     |                                     |                                     | INTEL386            |                     | ReadWrite, Read
| 16        | Add_RAX_imm32                                     |                               | Legacy      | Next                  |                                     |                                     | OF, SF, ZF, AF, CF, PF              |                                     |                                     |                                     | X64                 |                     | ReadWrite, Read
| 17        | Pushw_ES                                          | Push_2                        | Legacy      | Next                  |                                     |                                     |                                     |                                     |                                     |                                     |                     | StackInstruction    | Read      
| 18        | Pushd_ES                                          | Push_4                        | Legacy      | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | INTEL386            | StackInstruction    | Read      
