| TypeName                        | Index   | Name                            | Hex       | BitString                       | Description
| LegacyOpKind                    | 0       | None                            | 0         |                                 | 
| LegacyOpKind                    | 1       | Aww                             | 1         |                                 | 
| LegacyOpKind                    | 2       | Adw                             | 2         |                                 | 
| LegacyOpKind                    | 3       | M                               | 3         |                                 | 
| LegacyOpKind                    | 4       | Mfbcd                           | 4         |                                 | 
| LegacyOpKind                    | 5       | Mf32                            | 5         |                                 | 
| LegacyOpKind                    | 6       | Mf64                            | 6         |                                 | 
| LegacyOpKind                    | 7       | Mf80                            | 7         |                                 | 
| LegacyOpKind                    | 8       | Mfi16                           | 8         |                                 | 
| LegacyOpKind                    | 9       | Mfi32                           | 9         |                                 | 
| LegacyOpKind                    | 10      | Mfi64                           | a         |                                 | 
| LegacyOpKind                    | 11      | M14                             | b         |                                 | 
| LegacyOpKind                    | 12      | M28                             | c         |                                 | 
| LegacyOpKind                    | 13      | M98                             | d         |                                 | 
| LegacyOpKind                    | 14      | M108                            | e         |                                 | 
| LegacyOpKind                    | 15      | Mp                              | f         |                                 | 
| LegacyOpKind                    | 16      | Ms                              | 10        |                                 | 
| LegacyOpKind                    | 17      | Mo                              | 11        |                                 | 
| LegacyOpKind                    | 18      | Mb                              | 12        |                                 | 
| LegacyOpKind                    | 19      | Mw                              | 13        |                                 | 
| LegacyOpKind                    | 20      | Md                              | 14        |                                 | 
| LegacyOpKind                    | 21      | Md_MPX                          | 15        |                                 | 
| LegacyOpKind                    | 22      | Mq                              | 16        |                                 | 
| LegacyOpKind                    | 23      | Mq_MPX                          | 17        |                                 | 
| LegacyOpKind                    | 24      | Mw2                             | 18        |                                 | 
| LegacyOpKind                    | 25      | Md2                             | 19        |                                 | 
| LegacyOpKind                    | 26      | Eb                              | 1a        |                                 | 
| LegacyOpKind                    | 27      | Ew                              | 1b        |                                 | 
| LegacyOpKind                    | 28      | Ed                              | 1c        |                                 | 
| LegacyOpKind                    | 29      | Ed_MPX                          | 1d        |                                 | 
| LegacyOpKind                    | 30      | Ew_d                            | 1e        |                                 | 
| LegacyOpKind                    | 31      | Ew_q                            | 1f        |                                 | 
