| TypeName                        | Index   | Name                            | Hex       | BitString                       | Description
| MemorySize                      | 0       | Unknown                         | 0         |                                 | Unknown size or the instruction doesn't reference any memory (eg. #(c:LEA)#)
| MemorySize                      | 1       | UInt8                           | 1         |                                 | Memory location contains a #(t:u8)#
| MemorySize                      | 2       | UInt16                          | 2         |                                 | Memory location contains a #(t:u16)#
| MemorySize                      | 3       | UInt32                          | 3         |                                 | Memory location contains a #(t:u32)#
| MemorySize                      | 4       | UInt52                          | 4         |                                 | Memory location contains a #(t:u52)#
| MemorySize                      | 5       | UInt64                          | 5         |                                 | Memory location contains a #(t:u64)#
| MemorySize                      | 6       | UInt128                         | 6         |                                 | Memory location contains a #(t:u128)#
| MemorySize                      | 7       | UInt256                         | 7         |                                 | Memory location contains a #(t:u256)#
| MemorySize                      | 8       | UInt512                         | 8         |                                 | Memory location contains a #(t:u512)#
| MemorySize                      | 9       | Int8                            | 9         |                                 | Memory location contains a #(t:i8)#
| MemorySize                      | 10      | Int16                           | a         |                                 | Memory location contains a #(t:i16)#
| MemorySize                      | 11      | Int32                           | b         |                                 | Memory location contains a #(t:i32)#
| MemorySize                      | 12      | Int64                           | c         |                                 | Memory location contains a #(t:i64)#
| MemorySize                      | 13      | Int128                          | d         |                                 | Memory location contains a #(t:i128)#
| MemorySize                      | 14      | Int256                          | e         |                                 | Memory location contains a #(t:i256)#
| MemorySize                      | 15      | Int512                          | f         |                                 | Memory location contains a #(t:i512)#
| MemorySize                      | 16      | SegPtr16                        | 10        |                                 | Memory location contains a seg:ptr pair, #(t:u16)# (offset) + #(t:u16)# (segment/selector)
| MemorySize                      | 17      | SegPtr32                        | 11        |                                 | Memory location contains a seg:ptr pair, #(t:u32)# (offset) + #(t:u16)# (segment/selector)
| MemorySize                      | 18      | SegPtr64                        | 12        |                                 | Memory location contains a seg:ptr pair, #(t:u64)# (offset) + #(t:u16)# (segment/selector)
| MemorySize                      | 19      | WordOffset                      | 13        |                                 | Memory location contains a 16-bit offset (#(c:JMP/CALL WORD PTR [mem])#)
| MemorySize                      | 20      | DwordOffset                     | 14        |                                 | Memory location contains a 32-bit offset (#(c:JMP/CALL DWORD PTR [mem])#)
| MemorySize                      | 21      | QwordOffset                     | 15        |                                 | Memory location contains a 64-bit offset (#(c:JMP/CALL QWORD PTR [mem])#)
| MemorySize                      | 22      | Bound16_WordWord                | 16        |                                 | Memory location contains two #(t:u16)#s (16-bit #(c:BOUND)#)
| MemorySize                      | 23      | Bound32_DwordDword              | 17        |                                 | Memory location contains two #(t:u32)#s (32-bit #(c:BOUND)#)
| MemorySize                      | 24      | Bnd32                           | 18        |                                 | 32-bit #(c:BNDMOV)#, 2 x #(t:u32)#
| MemorySize                      | 25      | Bnd64                           | 19        |                                 | 64-bit #(c:BNDMOV)#, 2 x #(t:u64)#
| MemorySize                      | 26      | Fword6                          | 1a        |                                 | Memory location contains a 16-bit limit and a 32-bit address (eg. #(c:LGDTW)#, #(c:LGDTD)#)
| MemorySize                      | 27      | Fword10                         | 1b        |                                 | Memory location contains a 16-bit limit and a 64-bit address (eg. #(c:LGDTQ)#)
| MemorySize                      | 28      | Float16                         | 1c        |                                 | Memory location contains a #(t:f16)#
| MemorySize                      | 29      | Float32                         | 1d        |                                 | Memory location contains a #(t:f32)#
| MemorySize                      | 30      | Float64                         | 1e        |                                 | Memory location contains a #(t:f64)#
| MemorySize                      | 31      | Float80                         | 1f        |                                 | Memory location contains a #(t:f80)#
| MemorySize                      | 32      | Float128                        | 20        |                                 | Memory location contains a #(t:f128)#
| MemorySize                      | 33      | BFloat16                        | 21        |                                 | Memory location contains a #(t:bf16)#
| MemorySize                      | 34      | FpuEnv14                        | 22        |                                 | Memory location contains a 14-byte FPU environment (16-bit #(c:FLDENV)#/#(c:FSTENV)#)
| MemorySize                      | 35      | FpuEnv28                        | 23        |                                 | Memory location contains a 28-byte FPU environment (32/64-bit #(c:FLDENV)#/#(c:FSTENV)#)
| MemorySize                      | 36      | FpuState94                      | 24        |                                 | Memory location contains a 94-byte FPU environment (16-bit #(c:FSAVE)#/#(c:FRSTOR)#)
| MemorySize                      | 37      | FpuState108                     | 25        |                                 | Memory location contains a 108-byte FPU environment (32/64-bit #(c:FSAVE)#/#(c:FRSTOR)#)
| MemorySize                      | 38      | Fxsave_512Byte                  | 26        |                                 | Memory location contains 512-bytes of #(c:FXSAVE)#/#(c:FXRSTOR)# data
