Seq      | MemorySize
0        | Bcd
1        | BFloat16
2        | Bnd32
3        | Bnd64
4        | Bound16_WordWord
5        | Bound32_DwordDword
6        | Broadcast128_2xBFloat16
7        | Broadcast128_2xInt16
8        | Broadcast128_2xInt32
9        | Broadcast128_2xUInt32
10       | Broadcast128_Float32
11       | Broadcast128_Float64
12       | Broadcast128_Int32
13       | Broadcast128_Int64
14       | Broadcast128_UInt32
15       | Broadcast128_UInt52
16       | Broadcast128_UInt64
17       | Broadcast256_2xBFloat16
18       | Broadcast256_2xInt16
19       | Broadcast256_2xInt32
20       | Broadcast256_2xUInt32
21       | Broadcast256_Float32
22       | Broadcast256_Float64
23       | Broadcast256_Int32
24       | Broadcast256_Int64
25       | Broadcast256_UInt32
26       | Broadcast256_UInt52
27       | Broadcast256_UInt64
28       | Broadcast512_2xBFloat16
29       | Broadcast512_2xInt16
30       | Broadcast512_2xInt32
31       | Broadcast512_2xUInt32
32       | Broadcast512_Float32
33       | Broadcast512_Float64
34       | Broadcast512_Int32
35       | Broadcast512_Int64
36       | Broadcast512_UInt32
37       | Broadcast512_UInt52
38       | Broadcast512_UInt64
39       | Broadcast64_Float32
40       | Broadcast64_Int32
41       | Broadcast64_UInt32
42       | DwordOffset
43       | Float128
44       | Float16
45       | Float32
46       | Float64
47       | Float80
48       | FpuEnv14
49       | FpuEnv28
50       | FpuState108
51       | FpuState94
52       | Fword10
53       | Fword6
54       | Fxsave_512Byte
55       | Fxsave64_512Byte
56       | Int128
57       | Int16
58       | Int256
59       | Int32
60       | Int512
61       | Int64
62       | Int8
63       | Packed128_2xBFloat16
64       | Packed128_Float16
65       | Packed128_Float32
66       | Packed128_Float64
67       | Packed128_Int16
68       | Packed128_Int32
69       | Packed128_Int64
70       | Packed128_Int8
71       | Packed128_UInt16
72       | Packed128_UInt32
73       | Packed128_UInt52
74       | Packed128_UInt64
75       | Packed128_UInt8
76       | Packed16_Int8
77       | Packed16_UInt8
78       | Packed256_2xBFloat16
79       | Packed256_Float128
80       | Packed256_Float16
81       | Packed256_Float32
82       | Packed256_Float64
83       | Packed256_Int128
84       | Packed256_Int16
85       | Packed256_Int32
86       | Packed256_Int64
87       | Packed256_Int8
88       | Packed256_UInt128
89       | Packed256_UInt16
90       | Packed256_UInt32
91       | Packed256_UInt52
92       | Packed256_UInt64
93       | Packed256_UInt8
94       | Packed32_BFloat16
95       | Packed32_Int16
96       | Packed32_Int8
97       | Packed32_UInt16
98       | Packed32_UInt8
99       | Packed512_2xBFloat16
100      | Packed512_Float32
101      | Packed512_Float64
102      | Packed512_Int16
103      | Packed512_Int32
104      | Packed512_Int64
105      | Packed512_Int8
106      | Packed512_UInt128
107      | Packed512_UInt16
108      | Packed512_UInt32
109      | Packed512_UInt52
110      | Packed512_UInt64
111      | Packed512_UInt8
112      | Packed64_Float16
113      | Packed64_Float32
114      | Packed64_Int16
115      | Packed64_Int32
116      | Packed64_Int8
117      | Packed64_UInt16
118      | Packed64_UInt32
119      | Packed64_UInt8
120      | QwordOffset
121      | SegPtr16
122      | SegPtr32
123      | SegPtr64
124      | UInt128
125      | UInt16
126      | UInt256
127      | UInt32
128      | UInt512
129      | UInt52
130      | UInt64
131      | UInt8
132      | Unknown
133      | WordOffset
134      | Xsave
135      | Xsave64
