| TypeName                        | Index   | Name                            | Hex       | BitString                       | Description
| OpCodeFlags                     | 0       | None                            | 0         |                                 | None
| OpCodeFlags                     | 1       | Mode16                          | 1         |                                 | Mode16
| OpCodeFlags                     | 2       | Mode32                          | 2         |                                 | Mode32
| OpCodeFlags                     | 3       | Mode64                          | 4         |                                 | Mode64
| OpCodeFlags                     | 4       | Fwait                           | 8         |                                 | Fwait
| OpCodeFlags                     | 5       | LIG                             | 10        |                                 | LIG
| OpCodeFlags                     | 6       | WIG                             | 20        |                                 | WIG
| OpCodeFlags                     | 7       | WIG32                           | 40        |                                 | WIG32
| OpCodeFlags                     | 8       | W                               | 80        |                                 | W
| OpCodeFlags                     | 9       | Broadcast                       | 100       |                                 | Broadcast
| OpCodeFlags                     | 10      | RoundingControl                 | 200       |                                 | RoundingControl
| OpCodeFlags                     | 11      | SuppressAllExceptions           | 400       |                                 | SuppressAllExceptions
| OpCodeFlags                     | 12      | OpMaskRegister                  | 800       |                                 | OpMaskRegister
| OpCodeFlags                     | 13      | ZeroingMasking                  | 1000      |                                 | ZeroingMasking
| OpCodeFlags                     | 14      | LockPrefix                      | 2000      |                                 | LockPrefix
| OpCodeFlags                     | 15      | XacquirePrefix                  | 4000      |                                 | XacquirePrefix
| OpCodeFlags                     | 16      | XreleasePrefix                  | 8000      |                                 | XreleasePrefix
| OpCodeFlags                     | 17      | RepPrefix                       | 10000     |                                 | RepPrefix
| OpCodeFlags                     | 18      | RepnePrefix                     | 20000     |                                 | RepnePrefix
| OpCodeFlags                     | 19      | BndPrefix                       | 40000     |                                 | BndPrefix
| OpCodeFlags                     | 20      | HintTakenPrefix                 | 80000     |                                 | HintTakenPrefix
| OpCodeFlags                     | 21      | NotrackPrefix                   | 100000    |                                 | NotrackPrefix
| OpCodeFlags                     | 22      | NoInstruction                   | 200000    |                                 | NoInstruction
| OpCodeFlags                     | 23      | NonZeroOpMaskRegister           | 400000    |                                 | NonZeroOpMaskRegister
