Seq      | Register
0        | AH
1        | AL
2        | AX
3        | BH
4        | BL
5        | BND0
6        | BND1
7        | BND2
8        | BND3
9        | BP
10       | BPL
11       | BX
12       | CH
13       | CL
14       | CR0
15       | CR1
16       | CR10
17       | CR11
18       | CR12
19       | CR13
20       | CR14
21       | CR15
22       | CR2
23       | CR3
24       | CR4
25       | CR5
26       | CR6
27       | CR7
28       | CR8
29       | CR9
30       | CS
31       | CX
32       | DH
33       | DI
34       | DIL
35       | DL
36       | DR0
37       | DR1
38       | DR10
39       | DR11
40       | DR12
41       | DR13
42       | DR14
43       | DR15
44       | DR2
45       | DR3
46       | DR4
47       | DR5
48       | DR6
49       | DR7
50       | DR8
51       | DR9
52       | DS
53       | DX
54       | EAX
55       | EBP
56       | EBX
57       | ECX
58       | EDI
59       | EDX
60       | EIP
61       | ES
62       | ESI
63       | ESP
64       | FS
65       | GS
66       | K0
67       | K1
68       | K2
69       | K3
70       | K4
71       | K5
72       | K6
73       | K7
74       | MM0
75       | MM1
76       | MM2
77       | MM3
78       | MM4
79       | MM5
80       | MM6
81       | MM7
82       | None
83       | R10
84       | R10D
85       | R10L
86       | R10W
87       | R11
88       | R11D
89       | R11L
90       | R11W
91       | R12
92       | R12D
93       | R12L
94       | R12W
95       | R13
96       | R13D
97       | R13L
98       | R13W
99       | R14
100      | R14D
101      | R14L
102      | R14W
103      | R15
104      | R15D
105      | R15L
106      | R15W
107      | R8
108      | R8D
109      | R8L
110      | R8W
111      | R9
112      | R9D
113      | R9L
114      | R9W
115      | RAX
116      | RBP
117      | RBX
118      | RCX
119      | RDI
120      | RDX
121      | RIP
122      | RSI
123      | RSP
124      | SI
125      | SIL
126      | SP
127      | SPL
128      | SS
129      | ST0
130      | ST1
131      | ST2
132      | ST3
133      | ST4
134      | ST5
135      | ST6
136      | ST7
137      | TR0
138      | TR1
139      | TR2
140      | TR3
141      | TR4
142      | TR5
143      | TR6
144      | TR7
145      | XMM0
146      | XMM1
147      | XMM10
148      | XMM11
149      | XMM12
150      | XMM13
151      | XMM14
152      | XMM15
153      | XMM16
154      | XMM17
155      | XMM18
156      | XMM19
157      | XMM2
158      | XMM20
159      | XMM21
160      | XMM22
161      | XMM23
162      | XMM24
163      | XMM25
164      | XMM26
165      | XMM27
166      | XMM28
167      | XMM29
168      | XMM3
169      | XMM30
170      | XMM31
171      | XMM4
172      | XMM5
173      | XMM6
174      | XMM7
175      | XMM8
176      | XMM9
177      | YMM0
178      | YMM1
179      | YMM10
180      | YMM11
181      | YMM12
182      | YMM13
183      | YMM14
184      | YMM15
185      | YMM16
186      | YMM17
187      | YMM18
188      | YMM19
189      | YMM2
190      | YMM20
191      | YMM21
192      | YMM22
193      | YMM23
194      | YMM24
195      | YMM25
196      | YMM26
197      | YMM27
198      | YMM28
199      | YMM29
200      | YMM3
201      | YMM30
202      | YMM31
203      | YMM4
204      | YMM5
205      | YMM6
206      | YMM7
207      | YMM8
208      | YMM9
209      | ZMM0
210      | ZMM1
211      | ZMM10
212      | ZMM11
213      | ZMM12
214      | ZMM13
215      | ZMM14
216      | ZMM15
217      | ZMM16
218      | ZMM17
219      | ZMM18
220      | ZMM19
221      | ZMM2
222      | ZMM20
223      | ZMM21
224      | ZMM22
225      | ZMM23
226      | ZMM24
227      | ZMM25
228      | ZMM26
229      | ZMM27
230      | ZMM28
231      | ZMM29
232      | ZMM3
233      | ZMM30
234      | ZMM31
235      | ZMM4
236      | ZMM5
237      | ZMM6
238      | ZMM7
239      | ZMM8
240      | ZMM9
