Class               | Category      | Extension     | IsaSet        | BaseCode    | Mod       | Reg       | Pattern                                                                                             | Operands
 | JB                   | COND_BR        | BASE           | I86            | 72           |            |            | 0x72 mode64 FORCE64() BRANCH_HINT() BRDISP8()                                                        | RELBR:r:b:i8 REG0=XED_REG_RIP:rw:SUPP
 | JB                   | COND_BR        | BASE           | I86            | 72           |            |            | 0x72 not64 BRANCH_HINT() BRDISP8()                                                                   | RELBR:r:b:i8 REG0=XED_REG_EIP:rw:SUPP
 | JB                   | COND_BR        | BASE           | I86            | 0f 82        |            |            | 0x0F 0x82 not64 BRANCH_HINT() BRDISPz()                                                              | RELBR:r:z REG0=XED_REG_EIP:rw:SUPP
 | JB                   | COND_BR        | BASE           | I86            | 0f 82        |            |            | 0x0F 0x82 mode64 FORCE64() BRANCH_HINT() BRDISP32()                                                  | RELBR:r:d REG0=XED_REG_RIP:rw:SUPP
 | JBE                  | COND_BR        | BASE           | I86            | 76           |            |            | 0x76 mode64 FORCE64() BRANCH_HINT() BRDISP8()                                                        | RELBR:r:b:i8  REG0=XED_REG_RIP:rw:SUPP
 | JBE                  | COND_BR        | BASE           | I86            | 76           |            |            | 0x76 not64  BRANCH_HINT() BRDISP8()                                                                  | RELBR:r:b:i8 REG0=XED_REG_EIP:rw:SUPP
 | JBE                  | COND_BR        | BASE           | I86            | 0f 86        |            |            | 0x0F 0x86 not64 BRANCH_HINT() BRDISPz()                                                              | RELBR:r:z REG0=XED_REG_EIP:rw:SUPP
 | JBE                  | COND_BR        | BASE           | I86            | 0f 86        |            |            | 0x0F 0x86 mode64 FORCE64() BRANCH_HINT() BRDISP32()                                                  | RELBR:r:d REG0=XED_REG_RIP:rw:SUPP
 | JCXZ                 | COND_BR        | BASE           | I386           | e3           |            |            | 0xE3 eamode16 BRDISP8()                                                                              | RELBR:r:b:i8 REG0=XED_REG_CX:r:SUPP REG1=XED_REG_IP:rw:SUPP
 | JECXZ                | COND_BR        | BASE           | I386           | e3           |            |            | 0xE3 eamode32 not64 BRDISP8()                                                                        | RELBR:r:b:i8 REG0=XED_REG_ECX:r:SUPP REG1=XED_REG_EIP:rw:SUPP
 | JECXZ                | COND_BR        | BASE           | I386           | e3           |            |            | 0xE3 eamode32 mode64 BRDISP8() FORCE64()                                                             | RELBR:r:b:i8 REG0=XED_REG_ECX:r:SUPP REG1=XED_REG_RIP:rw:SUPP
 | JKNZD                | COND_BR        | KNCV           | KNCJKBR        | 75           |            |            | VV1 0x75 VNP VMAP0   W0 BRDISP8()                                                                    | REG0=MASK_N():w:mskw RELBR:r:b
 | JKNZD                | COND_BR        | KNCV           | KNCJKBR        | 85           |            |            | VV1 0x85 VNP not64 V0F   W0 BRDISPz()                                                                | REG0=MASK_N():w:mskw RELBR:r:z
 | JKNZD                | COND_BR        | KNCV           | KNCJKBR        | 85           |            |            | VV1 0x85 VNP mode64 V0F   W0 BRDISP32()                                                              | REG0=MASK_N():w:mskw RELBR:r:z
 | JKZD                 | COND_BR        | KNCV           | KNCJKBR        | 74           |            |            | VV1 0x74 VNP VMAP0   W0 BRDISP8()                                                                    | REG0=MASK_N():w:mskw RELBR:r:b
 | JKZD                 | COND_BR        | KNCV           | KNCJKBR        | 84           |            |            | VV1 0x84 not64 VNP V0F   W0 BRDISPz()                                                                | REG0=MASK_N():w:mskw RELBR:r:z
 | JKZD                 | COND_BR        | KNCV           | KNCJKBR        | 84           |            |            | VV1 0x84 mode64 VNP V0F   W0 BRDISP32()                                                              | REG0=MASK_N():w:mskw RELBR:r:z
 | JL                   | COND_BR        | BASE           | I86            | 7c           |            |            | 0x7C mode64 FORCE64() BRANCH_HINT() BRDISP8()                                                        | RELBR:r:b:i8 REG0=XED_REG_RIP:rw:SUPP
 | JL                   | COND_BR        | BASE           | I86            | 7c           |            |            | 0x7C not64 BRANCH_HINT() BRDISP8()                                                                   | RELBR:r:b:i8 REG0=XED_REG_EIP:rw:SUPP
 | JL                   | COND_BR        | BASE           | I86            | 0f 8c        |            |            | 0x0F 0x8C not64 BRANCH_HINT() BRDISPz()                                                              | RELBR:r:z REG0=XED_REG_EIP:rw:SUPP
 | JL                   | COND_BR        | BASE           | I86            | 0f 8c        |            |            | 0x0F 0x8C mode64 FORCE64() BRANCH_HINT() BRDISP32()                                                  | RELBR:r:d REG0=XED_REG_RIP:rw:SUPP
 | JLE                  | COND_BR        | BASE           | I86            | 7e           |            |            | 0x7E mode64 FORCE64() BRANCH_HINT() BRDISP8()                                                        | RELBR:r:b:i8 REG0=XED_REG_RIP:rw:SUPP
 | JLE                  | COND_BR        | BASE           | I86            | 7e           |            |            | 0x7E not64 BRANCH_HINT() BRDISP8()                                                                   | RELBR:r:b:i8 REG0=XED_REG_EIP:rw:SUPP
 | JLE                  | COND_BR        | BASE           | I86            | 0f 8e        |            |            | 0x0F 0x8E not64 BRANCH_HINT() BRDISPz()                                                              | RELBR:r:z REG0=XED_REG_EIP:rw:SUPP
 | JLE                  | COND_BR        | BASE           | I86            | 0f 8e        |            |            | 0x0F 0x8E mode64 FORCE64() BRANCH_HINT() BRDISP32()                                                  | RELBR:r:d REG0=XED_REG_RIP:rw:SUPP
 | JNB                  | COND_BR        | BASE           | I86            | 73           |            |            | 0x73 mode64 FORCE64() BRANCH_HINT() BRDISP8()                                                        | RELBR:r:b:i8 REG0=XED_REG_RIP:rw:SUPP
 | JNB                  | COND_BR        | BASE           | I86            | 73           |            |            | 0x73 not64 BRANCH_HINT() BRDISP8()                                                                   | RELBR:r:b:i8 REG0=XED_REG_EIP:rw:SUPP
 | JNB                  | COND_BR        | BASE           | I86            | 0f 83        |            |            | 0x0F 0x83 not64 BRANCH_HINT() BRDISPz()                                                              | RELBR:r:z REG0=XED_REG_EIP:rw:SUPP
