| Class               | Category      | Extension     | IsaSet        | BaseCode    | Mod       | Reg       | Pattern                                                                                             | Operands
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| ADDPS               | SSE           | SSE           |               | 0f 58       | mm        | rrr       | 0x0F 0x58 no_refining_prefix MOD[mm] MOD!=3 REG[rrr] RM[nnn]  MODRM()                               | REG0=XMM_R():rw:ps MEM0:r:ps
| ADDPS               | SSE           | SSE           |               | 0f 58       | 0b11      | rrr       | 0x0F 0x58 no_refining_prefix MOD[0b11] MOD=3 REG[rrr] RM[nnn]                                       | REG0=XMM_R():rw:ps REG1=XMM_B():r:ps
| ADDSS               | SSE           | SSE           |               | 0f 58       | mm        | rrr       | 0x0F 0x58 f3_refining_prefix MOD[mm] MOD!=3 REG[rrr] RM[nnn]  IGNORE66() MODRM()                    | REG0=XMM_R():rw:ss MEM0:r:ss
| ADDSS               | SSE           | SSE           |               | 0f 58       | 0b11      | rrr       | 0x0F 0x58 f3_refining_prefix MOD[0b11] MOD=3 REG[rrr] RM[nnn]  IGNORE66()                           | REG0=XMM_R():rw:ss REG1=XMM_B():r:ss
| ANDNPS              | LOGICAL_FP    | SSE           |               | 0f 55       | mm        | rrr       | 0x0F 0x55 no_refining_prefix MOD[mm] MOD!=3 REG[rrr] RM[nnn]  MODRM()                               | REG0=XMM_R():rw:xud MEM0:r:xud
| ANDNPS              | LOGICAL_FP    | SSE           |               | 0f 55       | 0b11      | rrr       | 0x0F 0x55 no_refining_prefix MOD[0b11] MOD=3 REG[rrr] RM[nnn]                                       | REG0=XMM_R():rw:xud REG1=XMM_B():r:xud
| ANDPS               | LOGICAL_FP    | SSE           |               | 0f 54       | mm        | rrr       | 0x0F 0x54 no_refining_prefix MOD[mm] MOD!=3 REG[rrr] RM[nnn]  MODRM()                               | REG0=XMM_R():rw:xud MEM0:r:xud
| ANDPS               | LOGICAL_FP    | SSE           |               | 0f 54       | 0b11      | rrr       | 0x0F 0x54 no_refining_prefix MOD[0b11] MOD=3 REG[rrr] RM[nnn]                                       | REG0=XMM_R():rw:xud REG1=XMM_B():r:xud
| CMPPS               | SSE           | SSE           |               | 0f c2       | mm        | rrr       | 0x0F 0xC2 no_refining_prefix MOD[mm] MOD!=3 REG[rrr] RM[nnn]  MODRM() UIMM8()                       | REG0=XMM_R():rw:ps MEM0:r:ps IMM0:r:b
| CMPPS               | SSE           | SSE           |               | 0f c2       | 0b11      | rrr       | 0x0F 0xC2 no_refining_prefix MOD[0b11] MOD=3 REG[rrr] RM[nnn]  UIMM8()                              | REG0=XMM_R():rw:ps REG1=XMM_B():r:ps IMM0:r:b
| CMPSS               | SSE           | SSE           |               | 0f c2       | mm        | rrr       | 0x0F 0xC2 f3_refining_prefix MOD[mm] MOD!=3 REG[rrr] RM[nnn]  IGNORE66() MODRM() UIMM8()            | REG0=XMM_R():rw:ss MEM0:r:ss IMM0:r:b
| CMPSS               | SSE           | SSE           |               | 0f c2       | 0b11      | rrr       | 0x0F 0xC2 f3_refining_prefix MOD[0b11] MOD=3 REG[rrr] RM[nnn]  IGNORE66() UIMM8()                   | REG0=XMM_R():rw:ss REG1=XMM_B():r:ss IMM0:r:b
| COMISS              | SSE           | SSE           |               | 0f 2f       | mm        | rrr       | 0x0F 0x2F no_refining_prefix MOD[mm] MOD!=3 REG[rrr] RM[nnn]  MODRM()                               | REG0=XMM_R():r:ss MEM0:r:ss
| COMISS              | SSE           | SSE           |               | 0f 2f       | 0b11      | rrr       | 0x0F 0x2F no_refining_prefix MOD[0b11] MOD=3 REG[rrr] RM[nnn]                                       | REG0=XMM_R():r:ss REG1=XMM_B():r:ss
| CVTPI2PS            | CONVERT       | SSE           |               | 0f 2a       | mm        | rrr       | 0x0F 0x2A no_refining_prefix MOD[mm] MOD!=3 REG[rrr] RM[nnn]  MODRM()                               | REG0=XMM_R():w:q:f32 MEM0:r:q:i32
| CVTPI2PS            | CONVERT       | SSE           |               | 0f 2a       | 0b11      | rrr       | 0x0F 0x2A no_refining_prefix MOD[0b11] MOD=3 REG[rrr] RM[nnn]                                       | REG0=XMM_R():w:q:f32 REG1=MMX_B():r:q:i32
| CVTPS2PI            | CONVERT       | SSE           |               | 0f 2d       | mm        | rrr       | 0x0F 0x2D no_refining_prefix MOD[mm] MOD!=3 REG[rrr] RM[nnn]  MODRM()                               | REG0=MMX_R():w:q:i32 MEM0:r:q:f32
| CVTPS2PI            | CONVERT       | SSE           |               | 0f 2d       | 0b11      | rrr       | 0x0F 0x2D no_refining_prefix MOD[0b11] MOD=3 REG[rrr] RM[nnn]                                       | REG0=MMX_R():w:q:i32 REG1=XMM_B():r:q:f32
| CVTSI2SS            | CONVERT       | SSE           |               | 0f 2a       | mm        | rrr       | 0x0F 0x2A f3_refining_prefix MOD[mm] MOD!=3 REG[rrr] RM[nnn]  IGNORE66() norexw_prefix MODRM()      | REG0=XMM_R():w:ss:f32 MEM0:r:d:i32
| CVTSI2SS            | CONVERT       | SSE           |               | 0f 2a       | 0b11      | rrr       | 0x0F 0x2A f3_refining_prefix MOD[0b11] MOD=3 REG[rrr] RM[nnn]  IGNORE66() norexw_prefix             | REG0=XMM_R():w:ss:f32 REG1=GPR32_B():r:d:i32
| CVTSI2SS            | CONVERT       | SSE           |               | 0f 2a       | mm        | rrr       | 0x0F 0x2A f3_refining_prefix MOD[mm] MOD!=3 REG[rrr] RM[nnn]  IGNORE66() rexw_prefix MODRM()        | REG0=XMM_R():w:ss:f32 MEM0:r:q:i32
