Class               | Category      | Extension     | IsaSet        | BaseCode    | Mod       | Reg       | Pattern                                                                                             | Operands
 | ADDPD                | SSE            | SSE2           |                | 0f 58        | mm         | rrr        | 0x0F 0x58 osz_refining_prefix MOD[mm] MOD!=3 REG[rrr] RM[nnn]  REFINING66() MODRM()                  | REG0=XMM_R():rw:pd MEM0:r:pd
 | ADDPD                | SSE            | SSE2           |                | 0f 58        | 0b11       | rrr        | 0x0F 0x58 osz_refining_prefix MOD[0b11] MOD=3 REG[rrr] RM[nnn]  REFINING66()                         | REG0=XMM_R():rw:pd REG1=XMM_B():r:pd
 | ADDSD                | SSE            | SSE2           |                | 0f 58        | mm         | rrr        | 0x0F 0x58 f2_refining_prefix MOD[mm] MOD!=3 REG[rrr] RM[nnn]  IGNORE66() MODRM()                     | REG0=XMM_R():rw:sd MEM0:r:sd
 | ADDSD                | SSE            | SSE2           |                | 0f 58        | 0b11       | rrr        | 0x0F 0x58 f2_refining_prefix MOD[0b11] MOD=3 REG[rrr] RM[nnn]  IGNORE66()                            | REG0=XMM_R():rw:sd REG1=XMM_B():r:sd
 | ANDNPD               | LOGICAL_FP     | SSE2           |                | 0f 55        | mm         | rrr        | 0x0F 0x55 osz_refining_prefix MOD[mm] MOD!=3 REG[rrr] RM[nnn]  REFINING66() MODRM()                  | REG0=XMM_R():rw:xuq MEM0:r:xuq
 | ANDNPD               | LOGICAL_FP     | SSE2           |                | 0f 55        | 0b11       | rrr        | 0x0F 0x55 osz_refining_prefix MOD[0b11] MOD=3 REG[rrr] RM[nnn]  REFINING66()                         | REG0=XMM_R():rw:xuq REG1=XMM_B():r:xuq
 | ANDPD                | LOGICAL_FP     | SSE2           |                | 0f 54        | mm         | rrr        | 0x0F 0x54 osz_refining_prefix MOD[mm] MOD!=3 REG[rrr] RM[nnn]  REFINING66() MODRM()                  | REG0=XMM_R():rw:xuq MEM0:r:xuq
 | ANDPD                | LOGICAL_FP     | SSE2           |                | 0f 54        | 0b11       | rrr        | 0x0F 0x54 osz_refining_prefix MOD[0b11] MOD=3 REG[rrr] RM[nnn]  REFINING66()                         | REG0=XMM_R():rw:xuq REG1=XMM_B():r:xuq
 | CMPPD                | SSE            | SSE2           |                | 0f c2        | mm         | rrr        | 0x0F 0xC2 osz_refining_prefix MOD[mm] MOD!=3 REG[rrr] RM[nnn]  REFINING66() MODRM() UIMM8()          | REG0=XMM_R():rw:pd MEM0:r:pd IMM0:r:b
 | CMPPD                | SSE            | SSE2           |                | 0f c2        | 0b11       | rrr        | 0x0F 0xC2 osz_refining_prefix MOD[0b11] MOD=3 REG[rrr] RM[nnn]  REFINING66() UIMM8()                 | REG0=XMM_R():rw:pd REG1=XMM_B():r:pd IMM0:r:b
 | CMPSD_XMM            | SSE            | SSE2           |                | 0f c2        | mm         | rrr        | 0x0F 0xC2 f2_refining_prefix MOD[mm] MOD!=3 REG[rrr] RM[nnn]  IGNORE66() MODRM() UIMM8()             | REG0=XMM_R():rw:sd MEM0:r:sd IMM0:r:b
 | CMPSD_XMM            | SSE            | SSE2           |                | 0f c2        | 0b11       | rrr        | 0x0F 0xC2 f2_refining_prefix MOD[0b11] MOD=3 REG[rrr] RM[nnn]  IGNORE66() UIMM8()                    | REG0=XMM_R():rw:sd REG1=XMM_B():r:sd IMM0:r:b
 | COMISD               | SSE            | SSE2           |                | 0f 2f        | mm         | rrr        | 0x0F 0x2F osz_refining_prefix MOD[mm] MOD!=3 REG[rrr] RM[nnn]  REFINING66() MODRM()                  | REG0=XMM_R():r:sd MEM0:r:sd
