# Encoding of reg Field When Mod/RM w Field is Not Present in Instruction; non 64-bit modes
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| Code | Register Selected for 16-Bit Data Ops | Register Selected for 32-Bit Data Ops |
| 000  | AX                                    | EAX                                   |
| 001  | CX                                    | ECX                                   |
| 010  | DX                                    | EDX                                   |
| 011  | BX                                    | EBX                                   |
| 100  | SP                                    | ESP                                   |
| 101  | BP                                    | EBP                                   |
| 110  | SI                                    | ESI                                   |
| 111  | DI                                    | EDI                                   |

# Register Specified by reg Field During 16-Bit Data Operations When Mod/RM w Field is Present in Instruction; non 64-bit modes
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| reg | w = 0 | w = 1 |
| 000 | AL    | AX    |
| 001 | CL    | CX    |
| 010 | DL    | DX    |
| 011 | BL    | BX    |
| 100 | AH    | SP    |
| 101 | CH    | BP    |
| 110 | DH    | SI    |
| 111 | BH    | DI    |

# Register Specified by reg Field During 32-Bit Data Operations When Mod/RM w Field is Present in Instruction; non 64-bit modes
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| reg | w = 0 | w = 1 |
| 000 | AL    | EAX   |
| 001 | CL    | ECX   |
| 010 | DL    | EDX   |
| 011 | BL    | EBX   |
| 100 | AH    | ESP   |
| 101 | CH    | EBP   |
| 110 | DH    | ESI   |
| 111 | BH    | EDI   |

# Encoding of reg Field When Mod/RM w Field is Not Present in Instruction; 64-bit mode
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| reg | Register Selected for 16-Bit Data Ops | Register Selected for 32-Bit Data Ops | Register Selected for 64-Bit Data Ops |
| 000 | AX                                    | EAX                                   | RAX                                   |
| 001 | CX                                    | ECX                                   | RCX                                   |
| 010 | DX                                    | EDX                                   | RDX                                   |
| 011 | BX                                    | EBX                                   | RBX                                   |
| 100 | SP                                    | ESP                                   | RSP                                   |
| 101 | BP                                    | EBP                                   | RBP                                   |
| 110 | SI                                    | ESI                                   | RSI                                   |
| 111 | DI                                    | EDI                                   | RDI                                   |

# Register Specified by reg Field During 16-Bit Data Operations
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| reg | w = 0 | w = 1 | Notes                                   |
| 000 | AL    | AX    |                                         |
| 001 | CL    | CX    |                                         |
| 010 | DL    | DX    |                                         |
| 011 | BL    | BX    |                                         |
| 100 | AH    | SP    | Cannot be encoded if REX prefix is used |
| 101 | CH    | BP    | Cannot be encoded if REX prefix is used |
| 110 | DH    | SI    | Cannot be encoded if REX prefix is used |
| 111 | BH    | DI    | Cannot be encoded if REX prefix is used |

# Register Specified by reg Field During 32-Bit Data Operations
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| reg | w = 0 | w = 1 | Notes                                   |
| 000 | AL    | EAX   |                                         |
| 001 | CL    | ECX   |                                         |
| 010 | DL    | EDX   |                                         |
| 011 | BL    | EBX   |                                         |
| 100 | AH    | ESP   | Cannot be encoded if REX prefix is used |
| 101 | CH    | EBP   | Cannot be encoded if REX prefix is used |
| 110 | DH    | ESI   | Cannot be encoded if REX prefix is used |
| 111 | BH    | EDI   | Cannot be encoded if REX prefix is used |

# 2-bit Segment Register fields
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| reg | Selected |
| 00  | ES       |
| 01  | CS       |
| 10  | SS       |
| 11  | DS       |


# 3-bit Segment Register fields
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| reg | Selected |
| 000 | ES       |
| 001 | CS       |
| 010 | SS       |
| 011 | DS       |
| 100 | FS       |
| 101 | GS       |
