| FieldCode | Register | Width | REX.B | 64-bit Only |
| 000       | AL       | 8     | N     | F           |
| 001       | CL       | 8     | N     | F           |
| 010       | DL       | 8     | N     | F           |
| 011       | BL       | 8     | N     | F           |
| 100       | AH       | 8     | N.E.  | F           |
| 101       | CH       | 8     | N.E.  | F           |
| 110       | DH       | 8     | N.E.  | F           |
| 111       | BH       | 8     | N.E.  | F           |

| 000       | R8L      | 8     | Y     | T           |
| 001       | R9L      | 8     | Y     | T           |
| 010       | R10L     | 8     | Y     | T           |
| 011       | R11L     | 8     | Y     | T           |
| 100       | R12L     | 8     | Y     | T           |
| 101       | R13L     | 8     | Y     | T           |
| 110       | R14L     | 8     | Y     | T           |
| 111       | R15L     | 8     | Y     | T           |

| 100       | SPL      | 8     | Y     | F           |
| 101       | BPL      | 8     | Y     | F           |
| 110       | SIL      | 8     | Y     | F           |
| 111       | DIL      | 8     | Y     | F           |

| 000       | AX       | 16    | N     | F           |
| 001       | CX       | 16    | N     | F           |
| 010       | DX       | 16    | N     | F           |
| 011       | BX       | 16    | N     | F           |
| 100       | SP       | 16    | N     | F           |
| 101       | BP       | 16    | N     | F           |
| 110       | SI       | 16    | N     | F           |
| 111       | DI       | 16    | N     | F           |

| 100       | SP       | 16    | N     | F           |
| 101       | BP       | 16    | N     | F           |
| 110       | SI       | 16    | N     | F           |
| 111       | DI       | 16    | N     | F           |

| 000       | R8W      | 16    | Y     | T           |
| 001       | R9W      | 16    | Y     | T           |
| 010       | R10W     | 16    | Y     | T           |
| 011       | R11W     | 16    | Y     | T           |
| 100       | R12W     | 16    | Y     | T           |
| 101       | R13W     | 16    | Y     | T           |
| 110       | R14W     | 16    | Y     | T           |
| 111       | R15W     | 16    | Y     | T           |

| 000       | EAX      | 32    | N     | F           |
| 001       | ECX      | 32    | N     | F           |
| 010       | EDX      | 32    | N     | F           |
| 011       | EBX      | 32    | N     | F           |
| 100       | ESP      | 32    | N     | F           |
| 101       | EBP      | 32    | N     | F           |
| 110       | ESI      | 32    | N     | F           |
| 111       | EDI      | 32    | N     | F           |

| 100       | ESP      | 32    | N     | F           |
| 101       | EBP      | 32    | N     | F           |
| 110       | ESI      | 32    | N     | F           |
| 111       | EDI      | 32    | N     | F           |

| 000       | R8D      | 32    | Y     | T           |
| 001       | R9D      | 32    | Y     | T           |
| 010       | R10D     | 32    | Y     | T           |
| 011       | R11D     | 32    | Y     | T           |
| 100       | R12D     | 32    | Y     | T           |
| 101       | R13D     | 32    | Y     | T           |
| 110       | R14D     | 32    | Y     | T           |
| 111       | R15D     | 32    | Y     | T           |

| 000       | RAX      | 64    | N     | T           |
| 001       | RCX      | 64    | N     | T           |
| 010       | RDX      | 64    | N     | T           |
| 011       | RBX      | 64    | N     | T           |
| 100       | RSP      | 64    | N     | T           |
| 101       | RBP      | 64    | N     | T           |
| 110       | RSI      | 64    | N     | T           |
| 111       | RDI      | 64    | N     | T           |

| 000       | R8       | 64    | Y     | T           |
| 001       | R9       | 64    | Y     | T           |
| 010       | R10      | 64    | Y     | T           |
| 011       | R11      | 64    | Y     | T           |
| 100       | R12      | 64    | Y     | T           |
| 101       | R13      | 64    | Y     | T           |
| 110       | R14      | 64    | Y     | T           |
| 111       | R15      | 64    | Y     | T           |
