# SBB - Integer Subtraction with Borrow
-------------------------------------------------------------------------------------------------------------------------------------------------
| Opcode           | Instruction      | Op/En | 64-Bit Mode | Compat/Leg Mode | Description                                                     |
| 1C ib            | SBB AL, imm8     | I     | Valid       | Valid           | Subtract with borrow imm8 from AL.                              |
| 1D iw            | SBB AX, imm16    | I     | Valid       | Valid           | Subtract with borrow imm16 from AX.                             |
| 1D id            | SBB EAX, imm32   | I     | Valid       | Valid           | Subtract with borrow imm32 from EAX.                            |
| REX.W + 1D id    | SBB RAX, imm32   | I     | Valid       | N.E.            | Subtract with borrow sign-extended imm.32 to 64-bits from RAX.  |
| 80 /3 ib         | SBB r/m8, imm8   | MI    | Valid       | Valid           | Subtract with borrow imm8 from r/m8.                            |
| REX + 80 /3 ib   | SBB r/m8*, imm8  | MI    | Valid       | N.E.            | Subtract with borrow imm8 from r/m8.                            |
| 81 /3 iw         | SBB r/m16, imm16 | MI    | Valid       | Valid           | Subtract with borrow imm16 from r/m16.                          |
| 81 /3 id         | SBB r/m32, imm32 | MI    | Valid       | Valid           | Subtract with borrow imm32 from r/m32.                          |
| REX.W + 81 /3 id | SBB r/m64, imm32 | MI    | Valid       | N.E.            | Subtract with borrow sign-extended imm32 to 64-bits from r/m64. |
| 83 /3 ib         | SBB r/m16, imm8  | MI    | Valid       | Valid           | Subtract with borrow sign-extended imm8 from r/m16.             |
| 83 /3 ib         | SBB r/m32, imm8  | MI    | Valid       | Valid           | Subtract with borrow sign-extended imm8 from r/m32.             |
| REX.W + 83 /3 ib | SBB r/m64, imm8  | MI    | Valid       | N.E.            | Subtract with borrow sign-extended imm8 from r/m64.             |
| 18 / r           | SBB r/m8, r8     | MR    | Valid       | Valid           | Subtract with borrow r8 from r/m8.                              |
| REX + 18 / r     | SBB r/m8*, r8    | MR    | Valid       | N.E.            | Subtract with borrow r8 from r/m8.                              |
| 19 / r           | SBB r/m16, r16   | MR    | Valid       | Valid           | Subtract with borrow r16 from r/m16.                            |
| 19 / r           | SBB r/m32, r32   | MR    | Valid       | Valid           | Subtract with borrow r32 from r/m32.                            |
| REX.W + 19 / r   | SBB r/m64, r64   | MR    | Valid       | N.E.            | Subtract with borrow r64 from r/m64.                            |
| 1A / r           | SBB r8, r/m8     | RM    | Valid       | Valid           | Subtract with borrow r/m8 from r8.                              |
| REX + 1A / r     | SBB r8*, r/m8*   | RM    | Valid       | N.E.            | Subtract with borrow r/m8 from r8.                              |
| 1B / r           | SBB r16, r/m16   | RM    | Valid       | Valid           | Subtract with borrow r/m16 from r16.                            |
| 1B / r           | SBB r32, r/m32   | RM    | Valid       | Valid           | Subtract with borrow r/m32 from r32.                            |
| REX.W + 1B / r   | SBB r64, r/m64   | RM    | Valid       | N.E.            | Subtract with borrow r/m64 from r64.                            |
