# https://docs.microsoft.com/en-us/windows/win32/api/minidumpapiset/ne-minidumpapiset-minidump_stream_type
| Name                        | Description                                                                                                                                                                                                                                                                     |
| UnusedStream                | Reserved. Do not use this enumeration value.                                                                                                                                                                                                                                    |
| ReservedStream0             | Reserved. Do not use this enumeration value.                                                                                                                                                                                                                                    |
| ReservedStream1             | Reserved. Do not use this enumeration value.                                                                                                                                                                                                                                    |
| ThreadListStream            | The stream contains thread information. For more information, see MINIDUMP_THREAD_LIST .                                                                                                                                                                                        |
| ModuleListStream            | The stream contains module information. For more information, see MINIDUMP_MODULE_LIST .                                                                                                                                                                                        |
| MemoryListStream            | The stream contains memory allocation information. For more information, see MINIDUMP_MEMORY_LIST .                                                                                                                                                                             |
| ExceptionStream             | The stream contains exception information. For more information, see MINIDUMP_EXCEPTION_STREAM .                                                                                                                                                                                |
| SystemInfoStream            | The stream contains general system information. For more information, see MINIDUMP_SYSTEM_INFO .                                                                                                                                                                                |
| ThreadExListStream          | The stream contains extended thread information. For more information, see MINIDUMP_THREAD_EX_LIST .                                                                                                                                                                            |
| Memory64ListStream          | The stream contains memory allocation information. For more information, see MINIDUMP_MEMORY64_LIST .                                                                                                                                                                           |
| CommentStreamA              | The stream contains an ANSI string used for documentation purposes.                                                                                                                                                                                                             |
| CommentStreamW              | The stream contains a Unicode string used for documentation purposes.                                                                                                                                                                                                           |
| HandleDataStream            | The stream contains high-level information about the active operating system handles. For more information, see MINIDUMP_HANDLE_DATA_STREAM .                                                                                                                                   |
| FunctionTableStream         | The stream contains function table information. For more information, see MINIDUMP_FUNCTION_TABLE_STREAM .                                                                                                                                                                      |
| UnloadedModuleListStream    | The stream contains module information for the unloaded modules. For more information, see MINIDUMP_UNLOADED_MODULE_LIST . DbgHelp 5.1: This value is not supported.                                                                                                            |
| MiscInfoStream              | The stream contains miscellaneous information. For more information, see MINIDUMP_MISC_INFO or MINIDUMP_MISC_INFO_2 . DbgHelp 5.1: This value is not supported.                                                                                                                 |
| MemoryInfoListStream        | The stream contains memory region description information. It corresponds to the information that would be returned for the process from the VirtualQuery function. For more information, see MINIDUMP_MEMORY_INFO_LIST . DbgHelp 6.1 and earlier: This value is not supported. |
| ThreadInfoListStream        | The stream contains thread state information. For more information, see MINIDUMP_THREAD_INFO_LIST . DbgHelp 6.1 and earlier: This value is not supported.                                                                                                                       |
| HandleOperationListStream   | This stream contains operation list information. For more information, see MINIDUMP_HANDLE_OPERATION_LIST . DbgHelp 6.4 and earlier: This value is not supported.                                                                                                               |
| TokenStream                 |                                                                                                                                                                                                                                                                                 |
| JavaScriptDataStream        |                                                                                                                                                                                                                                                                                 |
| SystemMemoryInfoStream      |                                                                                                                                                                                                                                                                                 |
| ProcessVmCountersStream     |                                                                                                                                                                                                                                                                                 |
| IptTraceStream              |                                                                                                                                                                                                                                                                                 |
| ThreadNamesStream           |                                                                                                                                                                                                                                                                                 |
| ceStreamNull                |                                                                                                                                                                                                                                                                                 |
| ceStreamSystemInfo          |                                                                                                                                                                                                                                                                                 |
| ceStreamException           |                                                                                                                                                                                                                                                                                 |
| ceStreamModuleList          |                                                                                                                                                                                                                                                                                 |
| ceStreamProcessList         |                                                                                                                                                                                                                                                                                 |
| ceStreamThreadList          |                                                                                                                                                                                                                                                                                 |
| ceStreamThreadContextList   |                                                                                                                                                                                                                                                                                 |
| ceStreamThreadCallStackList |                                                                                                                                                                                                                                                                                 |
| ceStreamMemoryVirtualList   |                                                                                                                                                                                                                                                                                 |
| ceStreamMemoryPhysicalList  |                                                                                                                                                                                                                                                                                 |
| ceStreamBucketParameters    |                                                                                                                                                                                                                                                                                 |
| ceStreamProcessModuleMap    |                                                                                                                                                                                                                                                                                 |
| ceStreamDiagnosisList       |                                                                                                                                                                                                                                                                                 |
| LastReservedStream          | Any value greater than this value will not be used by the system and can be used to represent application-defined data streams. For more information, see MINIDUMP_USER_STREAM .                                                                                                |
