# https://docs.microsoft.com/en-us/cpp/intrinsics/intrinsics-available-on-all-architectures?view=msvc-160
| Intrinsic                          | Header   |
| _AddressOfReturnAddress            | intrin.h |
| _BitScanForward                    | intrin.h |
| _BitScanReverse                    | intrin.h |
| _bittest                           | intrin.h |
| _bittestandcomplement              | intrin.h |
| _bittestandreset                   | intrin.h |
| _bittestandset                     | intrin.h |
| __code_seg                         | intrin.h |
| __debugbreak                       | intrin.h |
| _disable                           | intrin.h |
| _enable                            | intrin.h |
| __fastfail                         | intrin.h |
| _InterlockedAnd                    | intrin.h |
| _InterlockedAnd16                  | intrin.h |
| _InterlockedAnd8                   | intrin.h |
| _interlockedbittestandreset        | intrin.h |
| _interlockedbittestandset          | intrin.h |
| _InterlockedCompareExchange        | intrin.h |
| _InterlockedCompareExchange16      | intrin.h |
| _InterlockedCompareExchange8       | intrin.h |
| _InterlockedCompareExchangePointer | intrin.h |
| _InterlockedDecrement              | intrin.h |
| _InterlockedDecrement16            | intrin.h |
| _InterlockedExchange               | intrin.h |
| _InterlockedExchange16             | intrin.h |
| _InterlockedExchange8              | intrin.h |
| _InterlockedExchangeAdd            | intrin.h |
| _InterlockedExchangeAdd16          | intrin.h |
| _InterlockedExchangeAdd8           | intrin.h |
| _InterlockedExchangePointer        | intrin.h |
| _InterlockedIncrement              | intrin.h |
| _InterlockedIncrement16            | intrin.h |
| _InterlockedOr                     | intrin.h |
| _InterlockedOr16                   | intrin.h |
| _InterlockedOr8                    | intrin.h |
| _InterlockedXor                    | intrin.h |
| _InterlockedXor16                  | intrin.h |
| _InterlockedXor8                   | intrin.h |
| __nop                              | intrin.h |
| _ReadBarrier                       | intrin.h |
| _ReadWriteBarrier                  | intrin.h |
| _ReturnAddress                     | intrin.h |
| _rotl16                            | intrin.h |
| _rotl8                             | intrin.h |
| _rotr16                            | intrin.h |
| _rotr8                             | intrin.h |
| _WriteBarrier                      | intrin.h |
