# al.exe options - https://docs.microsoft.com/en-us/dotnet/framework/tools/al-exe-assembly-linker
----------------------------------------------------------------------------------------------------------
| Name   | Meaning                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| al1001 | Internal compiler error Try to determine whether Al.exe is failing because of its inability to parse unexpected syntax. Then, contact Microsoft Product Support Services.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
| al1002 | Out of memory Al.exe ran out of memory and stopped. Increase the amount of available memory.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| al1003 | Compiler option 'option' must be followed by an argument Al.exe expected an argument to be passed to a command-line option. For example, if you specify /algid: , you must pass an algorithm identifier.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| al1004 | Unexpected common language runtime initialization error — 'reason' Al.exe reported an error with the installation of Visual Studio or the common language runtime for the specified reason.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| al1005 | File 'file' too big to open All files opened by Al.exe must be smaller than 4 gigabytes (GB).                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| al1006 | Response file 'file' was already included The same response file was specified ( @file ) more than once on the command line. The response file can only be included once.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
| al1007 | Error opening response file 'file' — 'reason' Al.exe cannot open the specified response file for the specified reason.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
| al1008 | Missing file specification for 'option' command-line option Al.exe expected a file to be passed to a command-line option. For example, if you specify the /out option, you must specify a file.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| al1009 | Can't open 'file' for writing Al.exe was unable to write to a file, such as the output assembly file. The disk might be full, the file might be read-only, or you might not have permissions to the file.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
| al1010 | Command-line syntax error: Missing ':text' for 'option' option Al.exe expected an argument to be passed to a command-line option. For example, if you specify the /title option, you must pass a string.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| al1011 | File 'file' is an executable file and cannot be opened as a text file A binary file was specified where a text file was expected. For example, this error occurs if a binary file is passed on the command line as a response file.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| al1012 | 'value' is not a valid setting for option 'option' An unexpected value was passed to a command-line option. For example, this error occurs if you specify an invalid value to the /target option.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| al1013 | Unrecognized command-line option: 'option' An invalid command-line option was specified.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| al1014 | Unexpected initialization error — 'reason' Al.exe detected a COM initialization failure. This might be caused by a lack of memory, but a more likely cause is the system DLL files. You should see a similar error if you run any Automation-aware or COM-aware program, such as Microsoft Visual Studio. Reinstall the operating system.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
| al1015 | Unable to find messages file 'alinkui.dll' Al.exe requires Alinkui.dll . Make sure that this file is on your path. If necessary, copy it from the product CD.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| al1016 | No valid input files were specified Al.exe requires one or more input files that do not have assembly information.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| al1017 | No target file name was specified The required /out option specifying the target file name was missing.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| al1018 | Required file 'file' could not be loaded Certain DLL files cannot be loaded. Reinstall Visual Studio or the Windows SDK.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| al1019 | Metadata failure while creating assembly—reason Generation of the assembly was interrupted for the specified reason. For example, this error occurs if a file that you specify with the /win32res option is not found.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
| al1020 | Ignoring included assembly 'file' An input file that contained an assembly was specified. Al.exe input files cannot contain assemblies.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| al1021 | 'setting' : overriding previous setting A module had a value for a particular setting, possibly assigned through custom attributes, which was overridden with a value passed using an Al.exe command-line option.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| al1022 | Error reading embedded resource 'file'—reason Al.exe cannot read the file passed to the /embedresource option for the specified reason.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| al1023 | Error embedding resource 'file'—reason The operating system cannot embed the resource file in the assembly for the specified reason.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
