| Identifier  | Value       | Description                  |
| I8086       | 8086        | 8086                         |
| I186        | 186         | 186+                         |
| I286        | 286         | 286+                         |
| I386        | 386         | 386+                         |
| I486        | 486         | 486+                         |
| Pentium     | PENT        | Pentium                      |
| P6          | P6          | P6                           |
| Katmai      | KATMAI      | Katmai                       |
| Willamette  | WILLAMETTE  | Willamette                   |
| Prescott    | PRESCOTT    | Prescott                     |
| X86_64      | X86_64      | x86-64 (long or legacy mode) |
| Nehalem     | NEHALEM     | Nehalem                      |
| Westmere    | WESTMERE    | Westmere                     |
| SandyBridge | SANDYBRIDGE | Sandy Bridge                 |
| Future      | FUTURE      | Ivy Bridge or newer          |
| IA64        | IA64        | IA64 (in x86 mode)           |
