| Name     | width  | Description               | Emit |
| i1       | 1      | One bit boolean value     | 1    |
| i8       | 8      | 8-bit integer value       | 1    |
| i16      | 16     | 16-bit integer value      | 1    |
| i32      | 32     | 32-bit integer value      | 1    |
| i64      | 64     | 64-bit integer value      | 1    |
| i128     | 128    | 128-bit integer value     | 1    |
| v1i1     | 1      | 1 x i1 vector value       | 1    |
| v2i1     | 2      | 2 x i1 vector value       | 1    |
| v4i1     | 4      | 4 x i1 vector value       | 1    |
| v8i1     | 8      | 8 x i1 vector value       | 1    |
| v16i1    | 16     | 16 x i1 vector value      | 1    |
| v32i1    | 32     | 32 x i1 vector value      | 1    |
| v64i1    | 64     | 64 x i1 vector value      | 1    |
| v128i1   | 128    | 128 x i1 vector value     | 1    |
| v256i1   | 256    | 256 x i1 vector value     | 1    |
| v512i1   | 512    | 512 x i1 vector value     | 1    |
| v1024i1  | 1024   | 1024 x i1 vector value    | 1    |
| v1i8     | 8      | 1 x i8  vector value      | 1    |
| v2i8     | 16     | 2 x i8  vector value      | 1    |
| v4i8     | 32     | 4 x i8  vector value      | 1    |
| v8i8     | 64     | 8 x i8  vector value      | 1    |
| v16i8    | 128    | 16 x i8  vector value     | 1    |
| v32i8    | 256    | 32 x i8  vector value     | 1    |
| v64i8    | 512    | 64 x i8  vector value     | 1    |
| v128i8   | 1024   | 128 x i8  vector value    | 1    |
| v256i8   | 2048   | 256 x i8  vector value    | 1    |
| v1i16    | 16     | 1 x i16 vector value      | 1    |
| v2i16    | 32     | 2 x i16 vector value      | 1    |
| v3i16    | 48     | 3 x i16 vector value      | 1    |
| v4i16    | 64     | 4 x i16  vector value     | 1    |
| v8i16    | 128    | 8 x i16 vector value      | 1    |
| v16i16   | 256    | 16 x i16 vector value     | 1    |
| v32i16   | 512    | 32 x i16 vector value     | 1    |
| v64i16   | 1024   | 64 x i16 vector value     | 1    |
| v128i16  | 2048   | 128 x i16 vector value    | 1    |
| v1i32    | 32     | 1 x i32 vector value      | 1    |
| v2i32    | 64     | 2 x i32 vector value      | 1    |
| v3i32    | 96     | 3 x i32 vector value      | 1    |
| v4i32    | 128    | 4 x i32 vector value      | 1    |
| v5i32    | 160    | 5 x i32 vector value      | 1    |
| v8i32    | 256    | 8 x i32 vector value      | 1    |
| v16i32   | 512    | 16 x i32 vector value     | 1    |
| v32i32   | 1024   | 32 x i32 vector value     | 1    |
| v64i32   | 2048   | 64 x i32 vector value     | 1    |
| v128i32  | 4096   | 128 x i32 vector value    | 1    |
| v256i32  | 8182   | 256 x i32 vector value    | 1    |
| v512i32  | 16384  | 512 x i32 vector value    | 1    |
| v1024i32 | 32768  | 1024 x i32 vector value   | 1    |
| v2048i32 | 65536  | 2048 x i32 vector value   | 1    |
| v1i64    | 64     | 1 x i64 vector value      | 1    |
| v2i64    | 128    | 2 x i64 vector value      | 1    |
| v4i64    | 256    | 4 x i64 vector value      | 1    |
| v8i64    | 512    | 8 x i64 vector value      | 1    |
| v16i64   | 1024   | 16 x i64 vector value     | 1    |
| v32i64   | 2048   | 32 x i64 vector value     | 1    |
| v64i64   | 4096   | 64 x i64 vector value     | 1    |
| v128i64  | 8192   | 128 x i64 vector value    | 1    |
| v256i64  | 16384  | 256 x i64 vector value    | 1    |
