| Name     | width  | Description               | Emit |
| nxv1i1   | n*1    | n x  1 x i1  vector value | 0    |
| nxv2i1   | n*2    | n x  2 x i1  vector value | 0    |
| nxv4i1   | n*4    | n x  4 x i1  vector value | 0    |
| nxv8i1   | n*8    | n x  8 x i1  vector value | 0    |
| nxv16i1  | n*16   | n x 16 x i1  vector value | 0    |
| nxv32i1  | n*32   | n x 32 x i1  vector value | 0    |
| nxv64i1  | n*64   | n x 64 x i1  vector value | 0    |
| nxv1i8   | n*8    | n x  1 x i8  vector value | 0    |
| nxv2i8   | n*16   | n x  2 x i8  vector value | 0    |
| nxv4i8   | n*32   | n x  4 x i8  vector value | 0    |
| nxv8i8   | n*64   | n x  8 x i8  vector value | 0    |
| nxv16i8  | n*128  | n x 16 x i8  vector value | 0    |
| nxv32i8  | n*256  | n x 32 x i8  vector value | 0    |
| nxv64i8  | n*512  | n x 64 x i8  vector value | 0    |
| nxv1i16  | n*16   | n x  1 x i16 vector value | 0    |
| nxv2i16  | n*32   | n x  2 x i16 vector value | 0    |
| nxv4i16  | n*64   | n x  4 x i16 vector value | 0    |
| nxv8i16  | n*128  | n x  8 x i16 vector value | 0    |
| nxv16i16 | n*256  | n x 16 x i16 vector value | 0    |
| nxv32i16 | n*512  | n x 32 x i16 vector value | 0    |
| nxv1i32  | n*32   | n x  1 x i32 vector value | 0    |
| nxv2i32  | n*64   | n x  2 x i32 vector value | 0    |
| nxv4i32  | n*128  | n x  4 x i32 vector value | 0    |
| nxv8i32  | n*256  | n x  8 x i32 vector value | 0    |
| nxv16i32 | n*512  | n x 16 x i32 vector value | 0    |
| nxv32i32 | n*1024 | n x 32 x i32 vector value | 0    |
| nxv1i64  | n*64   | n x  1 x i64 vector value | 0    |
| nxv2i64  | n*128  | n x  2 x i64 vector value | 0    |
| nxv4i64  | n*256  | n x  4 x i64 vector value | 0    |
| nxv8i64  | n*512  | n x  8 x i64 vector value | 0    |
| nxv16i64 | n*1024 | n x 16 x i64 vector value | 0    |
| nxv32i64 | n*2048 | n x 32 x i64 vector value | 0    |
