# AsmIdColInxs - Intel Vol2A, 3.1.1.3
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| Identifier         | Value            | Description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| bnd                | bnd              | A 128-bit bounds register. BND0 through BND3.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| DST                | DST              | the destination in an instruction. This field is encoded by reg_field.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
| ᛁerᛁ               | {er}             | Indicates support for embedded rounding control, which is only applicable to the register-register form of the instruction. This also implies support for SAE (Suppress All Exceptions).                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| imm8               | imm8             | An immediate byte value. The imm8 symbol is a signed number between –128 and +127 inclusive. For instructions in which imm8 is combined with a word or doubleword operand, the immediate value is sign-extended to form a word or doubleword. The upper byte of the word is filled with the topmost bit of the immediate value.                                                                                                                                                                                                                                                                                                                                                                                                      |
| imm16              | imm16            | An immediate word value used for instructions whose operand-size attribute is 16 bits.This is a number between [–32,768] and [+32,767] inclusive.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
| imm32              | imm32            | An immediate doubleword value used for instructions whose operand-size attribute is 32 bits. It allows the use of a number between [+2147483647, –2147483648] inclusive.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| imm64              | imm64            | An immediate quadword value used for instructions whose operand-size attribute is 64 bits. The value allows the use of a number between +9,223,372,036,854,775,807 and –9,223,372,036,854,775,808 inclusive                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| k1                 | k1               | A mask register used as a regular operand (either destination or source). The 64-bit k registers are: k0 through k7                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| m                  | m                | A 16- 32- or 64-bit operand in memory.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
| m8                 | m8               | A byte operand in memory ( usually expressed as a variable or array name) but pointed to by the DS:(E)SI or ES:(E)DI registers. In 64-bit mode, it is pointed to by the RSI or RDI registers                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| m16                | m16              | A word operand in memory (usually expressed as a variable or array name) but pointed to by the DS:(E)SI or ES:(E)DI registers. This nomenclature is used only with the string instructions                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| m32                | m32              | A doubleword operand in memory (usually expressed as a variable or array name) but pointed to by the DS:(E)SI or ES:(E)DI registers. This nomenclature is used only with the string instructions                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| m64                | m64              | A memory quadword operand in memory                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| m128               | m128             | A memory double quadword operand in memory                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| m16ᙾ16             | m16:16           | A memory operand containing a far pointer composed of two numbers. The number to the left of the colon corresponds to the pointer's segment selector. The number to the right corresponds to its offset                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| m16ᙾ32             | m16:32           | A memory operand containing a far pointer composed of two numbers. The number to the left of the colon corresponds to the pointer's segment selector. The number to the right corresponds to its offset                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| m16ᙾ64             | m16:64           | A memory operand containing a far pointer composed of two numbers. The number to the left of the colon corresponds to the pointer's segment selector. The number to the right corresponds to its offset                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
