# ModRM.reg Field Encodings AMD Vol4 Table 1-10
-----------------------------------------------------
| reg  | Encoded |
| rAX  | 000     |
| rCX  | 001     |
| rDX  | 010     |
| rBX  | 011     |
| AH   | 100     |
| CH   | 101     |
| H    | 110     |
| H    | 111     |
| MMX0 | 000     |
| MMX1 | 001     |
| MMX2 | 010     |
| MMX3 | 011     |
| MMX4 | 100     |
| MMX5 | 101     |
| MMX6 | 110     |
| MMX7 | 111     |
| XMM0 | 000     |
| XMM1 | 001     |
| XMM2 | 010     |
| XMM3 | 011     |
| XMM4 | 100     |
| XMM5 | 101     |
| XMM6 | 110     |
| XMM7 | 111     |
| YMM0 | 000     |
| YMM1 | 001     |
| YMM2 | 010     |
| YMM3 | 011     |
| YMM4 | 100     |
| YMM5 | 101     |
| YMM6 | 110     |
| YMM7 | 111     |



