| Name                                     | Identifier        |
| Microsoft.Diagnostics.FastSerialization  | core.diag.serial  |
| Microsoft.Diagnostics.Tracing.TraceEvent | core.diag.etrace  |
| System.Diagnostics.Debug                 | core.diag.debug   |
| System.Diagnostics.Process               | core.diag.process |
| System.Diagnostics.Tracing               | core.diag.trace   |
| System.Diagnostics.StackTrace            | core.diag.stack   |
| Microsoft.DiaSymReader.Native.amd64      | core.diag.sym     |
| Microsoft.Win32.Primitives               | core.prim.win32   |
| System.ComponentModel.Primitives         | core.prim.cm      |
| System.Net.Primitives                    | core.prim.net     |
| System.Security.Cryptography.Primitives  | core.prim.crypt   |
| System.Reflection.Primitives             | core.prim.reflect |
| System.Runtime.Serialization.Formatters  | core.serialf      |
| System.IO.MemoryMappedFiles              | core.memfiles     |
| System.Reflection.Metadata               | core.metadata     |
| System.Reflection.Emit.ILGeneration      | core.ilgen        |
| System.Linq.Expressions                  | core.linq.x       |
| System.Collections                       | core.collect      |
| System.Collections.Immutable             | core.collect.im   |
| System.Collections.Concurrent            | core.collect.c    |
| System.Collections.NonGeneric            | core.collect.ng   |
| System.Private.CoreLib                   | core.private      |
| System.Private.Xml                       | core.private.xml  |
| System.Reflection.Emit.Lightweight       | core.reflect.emit |
| System.Threading.Tasks                   | core.tasks        |
| System.Xml.ReaderWriter                  | core.xmlread      |
| System.Text.Encoding.Extensions          | core.text.ext     |
| System.Net.Http                          | core.net.http     |
| System.Memory                            | core.memory       |
| System.Console                           | core.console      |
| System.Linq                              | core.linq         |
| System.Threading                         | core.thread       |
| System.IO.FileSystem                     | core.files        |
| System.Runtime                           | core.rt           |
| System.Runtime.Extensions                | core.rt.x         |
| System.Runtime.InteropServices           | core.rt.interop   |
| System.Runtime.CompilerServices.Unsafe   | core.rt.unsafe    |
| System.Runtime.Intrinsics                | core.rt.intrinsic |
| TraceReloggerLib                         | retrace           |
| OSExtensions                             | osextensions      |
| clrjit                                   | clrjit            |
| coreclr                                  | coreclr           |
| hostpolicy                               | hostpolicy        |
| hostfxr                                  | hostfxr           |
| netstandard                              | netstandard       |
| bcrypt                                   | bcrypt            |
| kernel.appcore                           | kernel.appcore    |
| ucrtbase                                 | ucrt.base         |
| msvcp_win                                | msvcp_win         |
| gdi32full                                | gdi32full         |
| KERNELBASE                               | kernelbase        |
| win32u                                   | win32u            |
| bcryptPrimitives                         | bcrypt.prim       |
| RPCRT4                                   | rpcrt4            |
| KERNEL32                                 | kernel32          |
| ole32                                    | ole32             |
| USER32                                   | user32            |
| GDI32                                    | gdi32             |
| combase                                  | combase           |
| ADVAPI32                                 | advapi32          |
| msvcrt                                   | msvcrt            |
| IMM32                                    | imm32             |
| sechost                                  | sechost           |
| OLEAUT32                                 | oleaut32          |
| SHLWAPI                                  | shlwapi           |
| ntdll                                    | ntdll             |
